"Rune ID","Name","Tier","Stars","Activity","Effect Type","Bonus Value (%)","Description"
"T3_RUNE_WOOD_COPY_1STAR","T3 Woodcutting Rune of Duplication (1 Star)",3,1,"Woodcutting","Duplication",11,"Increases Woodcutting Duplication by 11%"
"T3_RUNE_WOOD_COPY_2STAR","T3 Woodcutting Rune of Duplication (2 Star)",3,2,"Woodcutting","Duplication",13,"Increases Woodcutting Duplication by 13%"
"T3_RUNE_WOOD_COPY_3STAR","T3 Woodcutting Rune of Duplication (3 Star)",3,3,"Woodcutting","Duplication",15,"Increases Woodcutting Duplication by 15%"
"T4_RUNE_WOOD_COPY_1STAR","T4 Woodcutting Rune of Duplication (1 Star)",4,1,"Woodcutting","Duplication",16,"Increases Woodcutting Duplication by 16%"
"T4_RUNE_WOOD_COPY_2STAR","T4 Woodcutting Rune of Duplication (2 Star)",4,2,"Woodcutting","Duplication",18,"Increases Woodcutting Duplication by 18%"
"T4_RUNE_WOOD_COPY_3STAR","T4 Woodcutting Rune of Duplication (3 Star)",4,3,"Woodcutting","Duplication",20,"Increases Woodcutting Duplication by 20%"
"T5_RUNE_WOOD_COPY_1STAR","T5 Woodcutting Rune of Duplication (1 Star)",5,1,"Woodcutting","Duplication",21,"Increases Woodcutting Duplication by 21%"
"T5_RUNE_WOOD_COPY_2STAR","T5 Woodcutting Rune of Duplication (2 Star)",5,2,"Woodcutting","Duplication",23,"Increases Woodcutting Duplication by 23%"
"T5_RUNE_WOOD_COPY_3STAR","T5 Woodcutting Rune of Duplication (3 Star)",5,3,"Woodcutting","Duplication",25,"Increases Woodcutting Duplication by 25%"
"T6_RUNE_WOOD_COPY_1STAR","T6 Woodcutting Rune of Duplication (1 Star)",6,1,"Woodcutting","Duplication",26,"Increases Woodcutting Duplication by 26%"
"T6_RUNE_WOOD_COPY_2STAR","T6 Woodcutting Rune of Duplication (2 Star)",6,2,"Woodcutting","Duplication",28,"Increases Woodcutting Duplication by 28%"
"T6_RUNE_WOOD_COPY_3STAR","T6 Woodcutting Rune of Duplication (3 Star)",6,3,"Woodcutting","Duplication",30,"Increases Woodcutting Duplication by 30%"
"T7_RUNE_WOOD_COPY_1STAR","T7 Woodcutting Rune of Duplication (1 Star)",7,1,"Woodcutting","Duplication",31,"Increases Woodcutting Duplication by 31%"
"T7_RUNE_WOOD_COPY_2STAR","T7 Woodcutting Rune of Duplication (2 Star)",7,2,"Woodcutting","Duplication",33,"Increases Woodcutting Duplication by 33%"
"T7_RUNE_WOOD_COPY_3STAR","T7 Woodcutting Rune of Duplication (3 Star)",7,3,"Woodcutting","Duplication",35,"Increases Woodcutting Duplication by 35%"
"T8_RUNE_WOOD_COPY_1STAR","T8 Woodcutting Rune of Duplication (1 Star)",8,1,"Woodcutting","Duplication",36,"Increases Woodcutting Duplication by 36%"
"T8_RUNE_WOOD_COPY_2STAR","T8 Woodcutting Rune of Duplication (2 Star)",8,2,"Woodcutting","Duplication",38,"Increases Woodcutting Duplication by 38%"
"T8_RUNE_WOOD_COPY_3STAR","T8 Woodcutting Rune of Duplication (3 Star)",8,3,"Woodcutting","Duplication",40,"Increases Woodcutting Duplication by 40%"
"T9_RUNE_WOOD_COPY_1STAR","T9 Woodcutting Rune of Duplication (1 Star)",9,1,"Woodcutting","Duplication",41,"Increases Woodcutting Duplication by 41%"
"T9_RUNE_WOOD_COPY_2STAR","T9 Woodcutting Rune of Duplication (2 Star)",9,2,"Woodcutting","Duplication",43,"Increases Woodcutting Duplication by 43%"
"T9_RUNE_WOOD_COPY_3STAR","T9 Woodcutting Rune of Duplication (3 Star)",9,3,"Woodcutting","Duplication",45,"Increases Woodcutting Duplication by 45%"
"T10_RUNE_WOOD_COPY_1STAR","T10 Woodcutting Rune of Duplication (1 Star)",10,1,"Woodcutting","Duplication",46,"Increases Woodcutting Duplication by 46%"
"T10_RUNE_WOOD_COPY_2STAR","T10 Woodcutting Rune of Duplication (2 Star)",10,2,"Woodcutting","Duplication",48,"Increases Woodcutting Duplication by 48%"
"T10_RUNE_WOOD_COPY_3STAR","T10 Woodcutting Rune of Duplication (3 Star)",10,3,"Woodcutting","Duplication",50,"Increases Woodcutting Duplication by 50%"
"T1_RUNE_WOOD_SPEED_1STAR","T1 Woodcutting Rune of Auto-Refine (1 Star)",1,1,"Woodcutting","Auto-Refine",1,"Chance to automatically refine gathered materials by 1%"
"T1_RUNE_WOOD_SPEED_2STAR","T1 Woodcutting Rune of Auto-Refine (2 Star)",1,2,"Woodcutting","Auto-Refine",1,"Chance to automatically refine gathered materials by 1%"
"T1_RUNE_WOOD_SPEED_3STAR","T1 Woodcutting Rune of Auto-Refine (3 Star)",1,3,"Woodcutting","Auto-Refine",2,"Chance to automatically refine gathered materials by 2%"
"T2_RUNE_WOOD_SPEED_1STAR","T2 Woodcutting Rune of Auto-Refine (1 Star)",2,1,"Woodcutting","Auto-Refine",3,"Chance to automatically refine gathered materials by 3%"
"T2_RUNE_WOOD_SPEED_2STAR","T2 Woodcutting Rune of Auto-Refine (2 Star)",2,2,"Woodcutting","Auto-Refine",4,"Chance to automatically refine gathered materials by 4%"
"T2_RUNE_WOOD_SPEED_3STAR","T2 Woodcutting Rune of Auto-Refine (3 Star)",2,3,"Woodcutting","Auto-Refine",5,"Chance to automatically refine gathered materials by 5%"
"T3_RUNE_WOOD_SPEED_1STAR","T3 Woodcutting Rune of Auto-Refine (1 Star)",3,1,"Woodcutting","Auto-Refine",5,"Chance to automatically refine gathered materials by 5%"
"T3_RUNE_WOOD_SPEED_2STAR","T3 Woodcutting Rune of Auto-Refine (2 Star)",3,2,"Woodcutting","Auto-Refine",6,"Chance to automatically refine gathered materials by 6%"
"T3_RUNE_WOOD_SPEED_3STAR","T3 Woodcutting Rune of Auto-Refine (3 Star)",3,3,"Woodcutting","Auto-Refine",7,"Chance to automatically refine gathered materials by 7%"
"T4_RUNE_WOOD_SPEED_1STAR","T4 Woodcutting Rune of Auto-Refine (1 Star)",4,1,"Woodcutting","Auto-Refine",8,"Chance to automatically refine gathered materials by 8%"
"T4_RUNE_WOOD_SPEED_2STAR","T4 Woodcutting Rune of Auto-Refine (2 Star)",4,2,"Woodcutting","Auto-Refine",9,"Chance to automatically refine gathered materials by 9%"
"T4_RUNE_WOOD_SPEED_3STAR","T4 Woodcutting Rune of Auto-Refine (3 Star)",4,3,"Woodcutting","Auto-Refine",10,"Chance to automatically refine gathered materials by 10%"
"T5_RUNE_WOOD_SPEED_1STAR","T5 Woodcutting Rune of Auto-Refine (1 Star)",5,1,"Woodcutting","Auto-Refine",10,"Chance to automatically refine gathered materials by 10%"
"T5_RUNE_WOOD_SPEED_2STAR","T5 Woodcutting Rune of Auto-Refine (2 Star)",5,2,"Woodcutting","Auto-Refine",11,"Chance to automatically refine gathered materials by 11%"
"T5_RUNE_WOOD_SPEED_3STAR","T5 Woodcutting Rune of Auto-Refine (3 Star)",5,3,"Woodcutting","Auto-Refine",12,"Chance to automatically refine gathered materials by 12%"
"T6_RUNE_WOOD_SPEED_1STAR","T6 Woodcutting Rune of Auto-Refine (1 Star)",6,1,"Woodcutting","Auto-Refine",13,"Chance to automatically refine gathered materials by 13%"
"T6_RUNE_WOOD_SPEED_2STAR","T6 Woodcutting Rune of Auto-Refine (2 Star)",6,2,"Woodcutting","Auto-Refine",14,"Chance to automatically refine gathered materials by 14%"
"T6_RUNE_WOOD_SPEED_3STAR","T6 Woodcutting Rune of Auto-Refine (3 Star)",6,3,"Woodcutting","Auto-Refine",15,"Chance to automatically refine gathered materials by 15%"
"T7_RUNE_WOOD_SPEED_1STAR","T7 Woodcutting Rune of Auto-Refine (1 Star)",7,1,"Woodcutting","Auto-Refine",15,"Chance to automatically refine gathered materials by 15%"
"T7_RUNE_WOOD_SPEED_2STAR","T7 Woodcutting Rune of Auto-Refine (2 Star)",7,2,"Woodcutting","Auto-Refine",16,"Chance to automatically refine gathered materials by 16%"
"T7_RUNE_WOOD_SPEED_3STAR","T7 Woodcutting Rune of Auto-Refine (3 Star)",7,3,"Woodcutting","Auto-Refine",17,"Chance to automatically refine gathered materials by 17%"
"T8_RUNE_WOOD_SPEED_1STAR","T8 Woodcutting Rune of Auto-Refine (1 Star)",8,1,"Woodcutting","Auto-Refine",18,"Chance to automatically refine gathered materials by 18%"
"T8_RUNE_WOOD_SPEED_2STAR","T8 Woodcutting Rune of Auto-Refine (2 Star)",8,2,"Woodcutting","Auto-Refine",19,"Chance to automatically refine gathered materials by 19%"
"T8_RUNE_WOOD_SPEED_3STAR","T8 Woodcutting Rune of Auto-Refine (3 Star)",8,3,"Woodcutting","Auto-Refine",20,"Chance to automatically refine gathered materials by 20%"
"T9_RUNE_WOOD_SPEED_1STAR","T9 Woodcutting Rune of Auto-Refine (1 Star)",9,1,"Woodcutting","Auto-Refine",20,"Chance to automatically refine gathered materials by 20%"
"T9_RUNE_WOOD_SPEED_2STAR","T9 Woodcutting Rune of Auto-Refine (2 Star)",9,2,"Woodcutting","Auto-Refine",21,"Chance to automatically refine gathered materials by 21%"
"T9_RUNE_WOOD_SPEED_3STAR","T9 Woodcutting Rune of Auto-Refine (3 Star)",9,3,"Woodcutting","Auto-Refine",22,"Chance to automatically refine gathered materials by 22%"
"T10_RUNE_WOOD_SPEED_1STAR","T10 Woodcutting Rune of Auto-Refine (1 Star)",10,1,"Woodcutting","Auto-Refine",23,"Chance to automatically refine gathered materials by 23%"
"T10_RUNE_WOOD_SPEED_2STAR","T10 Woodcutting Rune of Auto-Refine (2 Star)",10,2,"Woodcutting","Auto-Refine",24,"Chance to automatically refine gathered materials by 24%"
"T10_RUNE_WOOD_SPEED_3STAR","T10 Woodcutting Rune of Auto-Refine (3 Star)",10,3,"Woodcutting","Auto-Refine",25,"Chance to automatically refine gathered materials by 25%"
"T1_RUNE_ORE_XP_1STAR","T1 Mining Rune of XP (1 Star)",1,1,"Mining","XP",1,"Increases Mining XP by 1%"
"T1_RUNE_ORE_XP_2STAR","T1 Mining Rune of XP (2 Star)",1,2,"Mining","XP",3,"Increases Mining XP by 3%"
"T1_RUNE_ORE_XP_3STAR","T1 Mining Rune of XP (3 Star)",1,3,"Mining","XP",5,"Increases Mining XP by 5%"
"T2_RUNE_ORE_XP_1STAR","T2 Mining Rune of XP (1 Star)",2,1,"Mining","XP",6,"Increases Mining XP by 6%"
"T2_RUNE_ORE_XP_2STAR","T2 Mining Rune of XP (2 Star)",2,2,"Mining","XP",8,"Increases Mining XP by 8%"
"T2_RUNE_ORE_XP_3STAR","T2 Mining Rune of XP (3 Star)",2,3,"Mining","XP",10,"Increases Mining XP by 10%"
"T3_RUNE_ORE_XP_1STAR","T3 Mining Rune of XP (1 Star)",3,1,"Mining","XP",11,"Increases Mining XP by 11%"
"T3_RUNE_ORE_XP_2STAR","T3 Mining Rune of XP (2 Star)",3,2,"Mining","XP",13,"Increases Mining XP by 13%"
"T3_RUNE_ORE_XP_3STAR","T3 Mining Rune of XP (3 Star)",3,3,"Mining","XP",15,"Increases Mining XP by 15%"
"T4_RUNE_ORE_XP_1STAR","T4 Mining Rune of XP (1 Star)",4,1,"Mining","XP",16,"Increases Mining XP by 16%"
"T4_RUNE_ORE_XP_2STAR","T4 Mining Rune of XP (2 Star)",4,2,"Mining","XP",18,"Increases Mining XP by 18%"
"T4_RUNE_ORE_XP_3STAR","T4 Mining Rune of XP (3 Star)",4,3,"Mining","XP",20,"Increases Mining XP by 20%"
"T5_RUNE_ORE_XP_1STAR","T5 Mining Rune of XP (1 Star)",5,1,"Mining","XP",21,"Increases Mining XP by 21%"
"T5_RUNE_ORE_XP_2STAR","T5 Mining Rune of XP (2 Star)",5,2,"Mining","XP",23,"Increases Mining XP by 23%"
"T5_RUNE_ORE_XP_3STAR","T5 Mining Rune of XP (3 Star)",5,3,"Mining","XP",25,"Increases Mining XP by 25%"
"T6_RUNE_ORE_XP_1STAR","T6 Mining Rune of XP (1 Star)",6,1,"Mining","XP",26,"Increases Mining XP by 26%"
"T6_RUNE_ORE_XP_2STAR","T6 Mining Rune of XP (2 Star)",6,2,"Mining","XP",28,"Increases Mining XP by 28%"
"T6_RUNE_ORE_XP_3STAR","T6 Mining Rune of XP (3 Star)",6,3,"Mining","XP",30,"Increases Mining XP by 30%"
"T7_RUNE_ORE_XP_1STAR","T7 Mining Rune of XP (1 Star)",7,1,"Mining","XP",31,"Increases Mining XP by 31%"
"T7_RUNE_ORE_XP_2STAR","T7 Mining Rune of XP (2 Star)",7,2,"Mining","XP",33,"Increases Mining XP by 33%"
"T7_RUNE_ORE_XP_3STAR","T7 Mining Rune of XP (3 Star)",7,3,"Mining","XP",35,"Increases Mining XP by 35%"
"T8_RUNE_ORE_XP_1STAR","T8 Mining Rune of XP (1 Star)",8,1,"Mining","XP",36,"Increases Mining XP by 36%"
"T8_RUNE_ORE_XP_2STAR","T8 Mining Rune of XP (2 Star)",8,2,"Mining","XP",38,"Increases Mining XP by 38%"
"T8_RUNE_ORE_XP_3STAR","T8 Mining Rune of XP (3 Star)",8,3,"Mining","XP",40,"Increases Mining XP by 40%"
"T9_RUNE_ORE_XP_1STAR","T9 Mining Rune of XP (1 Star)",9,1,"Mining","XP",41,"Increases Mining XP by 41%"
"T9_RUNE_ORE_XP_2STAR","T9 Mining Rune of XP (2 Star)",9,2,"Mining","XP",43,"Increases Mining XP by 43%"
"T9_RUNE_ORE_XP_3STAR","T9 Mining Rune of XP (3 Star)",9,3,"Mining","XP",45,"Increases Mining XP by 45%"
"T10_RUNE_ORE_XP_1STAR","T10 Mining Rune of XP (1 Star)",10,1,"Mining","XP",46,"Increases Mining XP by 46%"
"T10_RUNE_ORE_XP_2STAR","T10 Mining Rune of XP (2 Star)",10,2,"Mining","XP",48,"Increases Mining XP by 48%"
"T10_RUNE_ORE_XP_3STAR","T10 Mining Rune of XP (3 Star)",10,3,"Mining","XP",50,"Increases Mining XP by 50%"
"T1_RUNE_ORE_COPY_1STAR","T1 Mining Rune of Duplication (1 Star)",1,1,"Mining","Duplication",1,"Increases Mining Duplication by 1%"
"T1_RUNE_ORE_COPY_2STAR","T1 Mining Rune of Duplication (2 Star)",1,2,"Mining","Duplication",3,"Increases Mining Duplication by 3%"
"T1_RUNE_ORE_COPY_3STAR","T1 Mining Rune of Duplication (3 Star)",1,3,"Mining","Duplication",5,"Increases Mining Duplication by 5%"
"T2_RUNE_ORE_COPY_1STAR","T2 Mining Rune of Duplication (1 Star)",2,1,"Mining","Duplication",6,"Increases Mining Duplication by 6%"
"T2_RUNE_ORE_COPY_2STAR","T2 Mining Rune of Duplication (2 Star)",2,2,"Mining","Duplication",8,"Increases Mining Duplication by 8%"
"T2_RUNE_ORE_COPY_3STAR","T2 Mining Rune of Duplication (3 Star)",2,3,"Mining","Duplication",10,"Increases Mining Duplication by 10%"
"T3_RUNE_ORE_COPY_1STAR","T3 Mining Rune of Duplication (1 Star)",3,1,"Mining","Duplication",11,"Increases Mining Duplication by 11%"
"T3_RUNE_ORE_COPY_2STAR","T3 Mining Rune of Duplication (2 Star)",3,2,"Mining","Duplication",13,"Increases Mining Duplication by 13%"
"T3_RUNE_ORE_COPY_3STAR","T3 Mining Rune of Duplication (3 Star)",3,3,"Mining","Duplication",15,"Increases Mining Duplication by 15%"
"T4_RUNE_ORE_COPY_1STAR","T4 Mining Rune of Duplication (1 Star)",4,1,"Mining","Duplication",16,"Increases Mining Duplication by 16%"
"T4_RUNE_ORE_COPY_2STAR","T4 Mining Rune of Duplication (2 Star)",4,2,"Mining","Duplication",18,"Increases Mining Duplication by 18%"
"T4_RUNE_ORE_COPY_3STAR","T4 Mining Rune of Duplication (3 Star)",4,3,"Mining","Duplication",20,"Increases Mining Duplication by 20%"
"T5_RUNE_ORE_COPY_1STAR","T5 Mining Rune of Duplication (1 Star)",5,1,"Mining","Duplication",21,"Increases Mining Duplication by 21%"
"T5_RUNE_ORE_COPY_2STAR","T5 Mining Rune of Duplication (2 Star)",5,2,"Mining","Duplication",23,"Increases Mining Duplication by 23%"
"T5_RUNE_ORE_COPY_3STAR","T5 Mining Rune of Duplication (3 Star)",5,3,"Mining","Duplication",25,"Increases Mining Duplication by 25%"
"T6_RUNE_ORE_COPY_1STAR","T6 Mining Rune of Duplication (1 Star)",6,1,"Mining","Duplication",26,"Increases Mining Duplication by 26%"
"T6_RUNE_ORE_COPY_2STAR","T6 Mining Rune of Duplication (2 Star)",6,2,"Mining","Duplication",28,"Increases Mining Duplication by 28%"
"T6_RUNE_ORE_COPY_3STAR","T6 Mining Rune of Duplication (3 Star)",6,3,"Mining","Duplication",30,"Increases Mining Duplication by 30%"
"T7_RUNE_ORE_COPY_1STAR","T7 Mining Rune of Duplication (1 Star)",7,1,"Mining","Duplication",31,"Increases Mining Duplication by 31%"
"T7_RUNE_ORE_COPY_2STAR","T7 Mining Rune of Duplication (2 Star)",7,2,"Mining","Duplication",33,"Increases Mining Duplication by 33%"
"T7_RUNE_ORE_COPY_3STAR","T7 Mining Rune of Duplication (3 Star)",7,3,"Mining","Duplication",35,"Increases Mining Duplication by 35%"
"T8_RUNE_ORE_COPY_1STAR","T8 Mining Rune of Duplication (1 Star)",8,1,"Mining","Duplication",36,"Increases Mining Duplication by 36%"
"T8_RUNE_ORE_COPY_2STAR","T8 Mining Rune of Duplication (2 Star)",8,2,"Mining","Duplication",38,"Increases Mining Duplication by 38%"
"T8_RUNE_ORE_COPY_3STAR","T8 Mining Rune of Duplication (3 Star)",8,3,"Mining","Duplication",40,"Increases Mining Duplication by 40%"
"T9_RUNE_ORE_COPY_1STAR","T9 Mining Rune of Duplication (1 Star)",9,1,"Mining","Duplication",41,"Increases Mining Duplication by 41%"
"T9_RUNE_ORE_COPY_2STAR","T9 Mining Rune of Duplication (2 Star)",9,2,"Mining","Duplication",43,"Increases Mining Duplication by 43%"
"T9_RUNE_ORE_COPY_3STAR","T9 Mining Rune of Duplication (3 Star)",9,3,"Mining","Duplication",45,"Increases Mining Duplication by 45%"
"T10_RUNE_ORE_COPY_1STAR","T10 Mining Rune of Duplication (1 Star)",10,1,"Mining","Duplication",46,"Increases Mining Duplication by 46%"
"T10_RUNE_ORE_COPY_2STAR","T10 Mining Rune of Duplication (2 Star)",10,2,"Mining","Duplication",48,"Increases Mining Duplication by 48%"
"T10_RUNE_ORE_COPY_3STAR","T10 Mining Rune of Duplication (3 Star)",10,3,"Mining","Duplication",50,"Increases Mining Duplication by 50%"
"T1_RUNE_ORE_SPEED_1STAR","T1 Mining Rune of Auto-Refine (1 Star)",1,1,"Mining","Auto-Refine",1,"Chance to automatically refine gathered materials by 1%"
"T1_RUNE_ORE_SPEED_2STAR","T1 Mining Rune of Auto-Refine (2 Star)",1,2,"Mining","Auto-Refine",1,"Chance to automatically refine gathered materials by 1%"
"T1_RUNE_ORE_SPEED_3STAR","T1 Mining Rune of Auto-Refine (3 Star)",1,3,"Mining","Auto-Refine",2,"Chance to automatically refine gathered materials by 2%"
"T2_RUNE_ORE_SPEED_1STAR","T2 Mining Rune of Auto-Refine (1 Star)",2,1,"Mining","Auto-Refine",3,"Chance to automatically refine gathered materials by 3%"
"T2_RUNE_ORE_SPEED_2STAR","T2 Mining Rune of Auto-Refine (2 Star)",2,2,"Mining","Auto-Refine",4,"Chance to automatically refine gathered materials by 4%"
"T2_RUNE_ORE_SPEED_3STAR","T2 Mining Rune of Auto-Refine (3 Star)",2,3,"Mining","Auto-Refine",5,"Chance to automatically refine gathered materials by 5%"
"T3_RUNE_ORE_SPEED_1STAR","T3 Mining Rune of Auto-Refine (1 Star)",3,1,"Mining","Auto-Refine",5,"Chance to automatically refine gathered materials by 5%"
"T3_RUNE_ORE_SPEED_2STAR","T3 Mining Rune of Auto-Refine (2 Star)",3,2,"Mining","Auto-Refine",6,"Chance to automatically refine gathered materials by 6%"
"T3_RUNE_ORE_SPEED_3STAR","T3 Mining Rune of Auto-Refine (3 Star)",3,3,"Mining","Auto-Refine",7,"Chance to automatically refine gathered materials by 7%"
"T4_RUNE_ORE_SPEED_1STAR","T4 Mining Rune of Auto-Refine (1 Star)",4,1,"Mining","Auto-Refine",8,"Chance to automatically refine gathered materials by 8%"
"T4_RUNE_ORE_SPEED_2STAR","T4 Mining Rune of Auto-Refine (2 Star)",4,2,"Mining","Auto-Refine",9,"Chance to automatically refine gathered materials by 9%"
"T4_RUNE_ORE_SPEED_3STAR","T4 Mining Rune of Auto-Refine (3 Star)",4,3,"Mining","Auto-Refine",10,"Chance to automatically refine gathered materials by 10%"
"T5_RUNE_ORE_SPEED_1STAR","T5 Mining Rune of Auto-Refine (1 Star)",5,1,"Mining","Auto-Refine",10,"Chance to automatically refine gathered materials by 10%"
"T5_RUNE_ORE_SPEED_2STAR","T5 Mining Rune of Auto-Refine (2 Star)",5,2,"Mining","Auto-Refine",11,"Chance to automatically refine gathered materials by 11%"
"T5_RUNE_ORE_SPEED_3STAR","T5 Mining Rune of Auto-Refine (3 Star)",5,3,"Mining","Auto-Refine",12,"Chance to automatically refine gathered materials by 12%"
"T6_RUNE_ORE_SPEED_1STAR","T6 Mining Rune of Auto-Refine (1 Star)",6,1,"Mining","Auto-Refine",13,"Chance to automatically refine gathered materials by 13%"
"T6_RUNE_ORE_SPEED_2STAR","T6 Mining Rune of Auto-Refine (2 Star)",6,2,"Mining","Auto-Refine",14,"Chance to automatically refine gathered materials by 14%"
"T6_RUNE_ORE_SPEED_3STAR","T6 Mining Rune of Auto-Refine (3 Star)",6,3,"Mining","Auto-Refine",15,"Chance to automatically refine gathered materials by 15%"
"T7_RUNE_ORE_SPEED_1STAR","T7 Mining Rune of Auto-Refine (1 Star)",7,1,"Mining","Auto-Refine",15,"Chance to automatically refine gathered materials by 15%"
"T7_RUNE_ORE_SPEED_2STAR","T7 Mining Rune of Auto-Refine (2 Star)",7,2,"Mining","Auto-Refine",16,"Chance to automatically refine gathered materials by 16%"
