Type,Item Name,Item ID,Tier,Quick Sell Value
ARMOR,Plate Armor (Excellent),T2_PLATE_ARMOR_Q3,2,120
ARMOR,Plate Armor (Good),T2_PLATE_ARMOR_Q1,2,160
ARMOR,Plate Armor (Masterpiece),T2_PLATE_ARMOR_Q4,2,200
ARMOR,Plate Armor (Outstanding),T2_PLATE_ARMOR_Q2,2,240
ARMOR,Cloth Armor,T3_CLOTH_ARMOR,3,160
ARMOR,Cloth Armor (Excellent),T3_CLOTH_ARMOR_Q3,3,240
ARMOR,Cloth Armor (Good),T3_CLOTH_ARMOR_Q1,3,320
ARMOR,Cloth Armor (Masterpiece),T3_CLOTH_ARMOR_Q4,3,400
ARMOR,Cloth Armor (Outstanding),T3_CLOTH_ARMOR_Q2,3,480
ARMOR,Leather Armor,T3_LEATHER_ARMOR,3,160
ARMOR,Leather Armor (Excellent),T3_LEATHER_ARMOR_Q3,3,240
ARMOR,Leather Armor (Good),T3_LEATHER_ARMOR_Q1,3,320
ARMOR,Leather Armor (Masterpiece),T3_LEATHER_ARMOR_Q4,3,400
ARMOR,Leather Armor (Outstanding),T3_LEATHER_ARMOR_Q2,3,480
ARMOR,Plate Armor,T3_PLATE_ARMOR,3,160
ARMOR,Plate Armor (Excellent),T3_PLATE_ARMOR_Q3,3,240
ARMOR,Plate Armor (Good),T3_PLATE_ARMOR_Q1,3,320
ARMOR,Plate Armor (Masterpiece),T3_PLATE_ARMOR_Q4,3,400
ARMOR,Plate Armor (Outstanding),T3_PLATE_ARMOR_Q2,3,480
ARMOR,Cloth Armor,T4_CLOTH_ARMOR,4,280
ARMOR,Cloth Armor (Excellent),T4_CLOTH_ARMOR_Q3,4,420
ARMOR,Cloth Armor (Good),T4_CLOTH_ARMOR_Q1,4,560
ARMOR,Cloth Armor (Masterpiece),T4_CLOTH_ARMOR_Q4,4,700
ARMOR,Cloth Armor (Outstanding),T4_CLOTH_ARMOR_Q2,4,840
ARMOR,Leather Armor,T4_LEATHER_ARMOR,4,280
ARMOR,Leather Armor (Excellent),T4_LEATHER_ARMOR_Q3,4,420
ARMOR,Leather Armor (Good),T4_LEATHER_ARMOR_Q1,4,560
ARMOR,Leather Armor (Masterpiece),T4_LEATHER_ARMOR_Q4,4,700
ARMOR,Leather Armor (Outstanding),T4_LEATHER_ARMOR_Q2,4,840
ARMOR,Plate Armor,T4_PLATE_ARMOR,4,280
ARMOR,Plate Armor (Excellent),T4_PLATE_ARMOR_Q3,4,420
ARMOR,Plate Armor (Good),T4_PLATE_ARMOR_Q1,4,560
ARMOR,Plate Armor (Masterpiece),T4_PLATE_ARMOR_Q4,4,700
ARMOR,Plate Armor (Outstanding),T4_PLATE_ARMOR_Q2,4,840
ARMOR,Cloth Armor,T5_CLOTH_ARMOR,5,440
ARMOR,Cloth Armor (Excellent),T5_CLOTH_ARMOR_Q3,5,660
ARMOR,Cloth Armor (Good),T5_CLOTH_ARMOR_Q1,5,880
ARMOR,Cloth Armor (Masterpiece),T5_CLOTH_ARMOR_Q4,5,1100
ARMOR,Cloth Armor (Outstanding),T5_CLOTH_ARMOR_Q2,5,1320
ARMOR,Leather Armor,T5_LEATHER_ARMOR,5,440
ARMOR,Leather Armor (Excellent),T5_LEATHER_ARMOR_Q3,5,660
ARMOR,Leather Armor (Good),T5_LEATHER_ARMOR_Q1,5,880
ARMOR,Leather Armor (Masterpiece),T5_LEATHER_ARMOR_Q4,5,1100
ARMOR,Leather Armor (Outstanding),T5_LEATHER_ARMOR_Q2,5,1320
ARMOR,Plate Armor,T5_PLATE_ARMOR,5,440
ARMOR,Plate Armor (Excellent),T5_PLATE_ARMOR_Q3,5,660
ARMOR,Plate Armor (Good),T5_PLATE_ARMOR_Q1,5,880
ARMOR,Plate Armor (Masterpiece),T5_PLATE_ARMOR_Q4,5,1100
ARMOR,Plate Armor (Outstanding),T5_PLATE_ARMOR_Q2,5,1320
ARMOR,Cloth Armor,T6_CLOTH_ARMOR,6,640
ARMOR,Cloth Armor (Excellent),T6_CLOTH_ARMOR_Q3,6,960
ARMOR,Cloth Armor (Good),T6_CLOTH_ARMOR_Q1,6,1280
ARMOR,Cloth Armor (Masterpiece),T6_CLOTH_ARMOR_Q4,6,1600
ARMOR,Cloth Armor (Outstanding),T6_CLOTH_ARMOR_Q2,6,1920
ARMOR,Leather Armor,T6_LEATHER_ARMOR,6,640
ARMOR,Leather Armor (Excellent),T6_LEATHER_ARMOR_Q3,6,960
ARMOR,Leather Armor (Good),T6_LEATHER_ARMOR_Q1,6,1280
ARMOR,Leather Armor (Masterpiece),T6_LEATHER_ARMOR_Q4,6,1600
ARMOR,Leather Armor (Outstanding),T6_LEATHER_ARMOR_Q2,6,1920
ARMOR,Plate Armor,T6_PLATE_ARMOR,6,640
ARMOR,Plate Armor (Excellent),T6_PLATE_ARMOR_Q3,6,960
ARMOR,Plate Armor (Good),T6_PLATE_ARMOR_Q1,6,1280
ARMOR,Plate Armor (Masterpiece),T6_PLATE_ARMOR_Q4,6,1600
ARMOR,Plate Armor (Outstanding),T6_PLATE_ARMOR_Q2,6,1920
ARMOR,Cloth Armor,T7_CLOTH_ARMOR,7,880
ARMOR,Cloth Armor (Excellent),T7_CLOTH_ARMOR_Q3,7,1320
ARMOR,Cloth Armor (Good),T7_CLOTH_ARMOR_Q1,7,1760
ARMOR,Cloth Armor (Masterpiece),T7_CLOTH_ARMOR_Q4,7,2200
ARMOR,Cloth Armor (Outstanding),T7_CLOTH_ARMOR_Q2,7,2640
ARMOR,Leather Armor,T7_LEATHER_ARMOR,7,880
ARMOR,Leather Armor (Excellent),T7_LEATHER_ARMOR_Q3,7,1320
ARMOR,Leather Armor (Good),T7_LEATHER_ARMOR_Q1,7,1760
ARMOR,Leather Armor (Masterpiece),T7_LEATHER_ARMOR_Q4,7,2200
ARMOR,Leather Armor (Outstanding),T7_LEATHER_ARMOR_Q2,7,2640
ARMOR,Plate Armor,T7_PLATE_ARMOR,7,880
ARMOR,Plate Armor (Excellent),T7_PLATE_ARMOR_Q3,7,1320
ARMOR,Plate Armor (Good),T7_PLATE_ARMOR_Q1,7,1760
ARMOR,Plate Armor (Masterpiece),T7_PLATE_ARMOR_Q4,7,2200
ARMOR,Plate Armor (Outstanding),T7_PLATE_ARMOR_Q2,7,2640
ARMOR,Cloth Armor,T8_CLOTH_ARMOR,8,1160
ARMOR,Cloth Armor (Excellent),T8_CLOTH_ARMOR_Q3,8,1740
ARMOR,Cloth Armor (Good),T8_CLOTH_ARMOR_Q1,8,2320
ARMOR,Cloth Armor (Masterpiece),T8_CLOTH_ARMOR_Q4,8,2900
ARMOR,Cloth Armor (Outstanding),T8_CLOTH_ARMOR_Q2,8,3480
ARMOR,Leather Armor,T8_LEATHER_ARMOR,8,1160
ARMOR,Leather Armor (Excellent),T8_LEATHER_ARMOR_Q3,8,1740
ARMOR,Leather Armor (Good),T8_LEATHER_ARMOR_Q1,8,2320
ARMOR,Leather Armor (Masterpiece),T8_LEATHER_ARMOR_Q4,8,2900
ARMOR,Leather Armor (Outstanding),T8_LEATHER_ARMOR_Q2,8,3480
ARMOR,Plate Armor,T8_PLATE_ARMOR,8,1160
ARMOR,Plate Armor (Excellent),T8_PLATE_ARMOR_Q3,8,1740
ARMOR,Plate Armor (Good),T8_PLATE_ARMOR_Q1,8,2320
ARMOR,Plate Armor (Masterpiece),T8_PLATE_ARMOR_Q4,8,2900
ARMOR,Plate Armor (Outstanding),T8_PLATE_ARMOR_Q2,8,3480
ARMOR,Cloth Armor,T9_CLOTH_ARMOR,9,1480
ARMOR,Cloth Armor (Excellent),T9_CLOTH_ARMOR_Q3,9,2220
ARMOR,Cloth Armor (Good),T9_CLOTH_ARMOR_Q1,9,2960
ARMOR,Cloth Armor (Masterpiece),T9_CLOTH_ARMOR_Q4,9,3700
ARMOR,Cloth Armor (Outstanding),T9_CLOTH_ARMOR_Q2,9,4440
ARMOR,Leather Armor,T9_LEATHER_ARMOR,9,1480
ARMOR,Leather Armor (Excellent),T9_LEATHER_ARMOR_Q3,9,2220
ARMOR,Leather Armor (Good),T9_LEATHER_ARMOR_Q1,9,2960
ARMOR,Leather Armor (Masterpiece),T9_LEATHER_ARMOR_Q4,9,3700
ARMOR,Leather Armor (Outstanding),T9_LEATHER_ARMOR_Q2,9,4440
ARMOR,Plate Armor,T9_PLATE_ARMOR,9,1480
ARMOR,Plate Armor (Excellent),T9_PLATE_ARMOR_Q3,9,2220
ARMOR,Plate Armor (Good),T9_PLATE_ARMOR_Q1,9,2960
ARMOR,Plate Armor (Masterpiece),T9_PLATE_ARMOR_Q4,9,3700
ARMOR,Plate Armor (Outstanding),T9_PLATE_ARMOR_Q2,9,4440
ARMOR,Cloth Armor,T10_CLOTH_ARMOR,10,1840
ARMOR,Cloth Armor (Excellent),T10_CLOTH_ARMOR_Q3,10,2760
ARMOR,Cloth Armor (Good),T10_CLOTH_ARMOR_Q1,10,3680
ARMOR,Cloth Armor (Masterpiece),T10_CLOTH_ARMOR_Q4,10,4600
ARMOR,Cloth Armor (Outstanding),T10_CLOTH_ARMOR_Q2,10,5520
ARMOR,Leather Armor,T10_LEATHER_ARMOR,10,1840
ARMOR,Leather Armor (Excellent),T10_LEATHER_ARMOR_Q3,10,2760
ARMOR,Leather Armor (Good),T10_LEATHER_ARMOR_Q1,10,3680
ARMOR,Leather Armor (Masterpiece),T10_LEATHER_ARMOR_Q4,10,4600
ARMOR,Leather Armor (Outstanding),T10_LEATHER_ARMOR_Q2,10,5520
ARMOR,Plate Armor,T10_PLATE_ARMOR,10,1840
ARMOR,Plate Armor (Excellent),T10_PLATE_ARMOR_Q3,10,2760
ARMOR,Plate Armor (Good),T10_PLATE_ARMOR_Q1,10,3680
ARMOR,Plate Armor (Masterpiece),T10_PLATE_ARMOR_Q4,10,4600
ARMOR,Plate Armor (Outstanding),T10_PLATE_ARMOR_Q2,10,5520
BOOTS,Cloth Boots,T1_CLOTH_BOOTS,1,40
BOOTS,Cloth Boots (Excellent),T1_CLOTH_BOOTS_Q3,1,60
BOOTS,Cloth Boots (Good),T1_CLOTH_BOOTS_Q1,1,80
BOOTS,Cloth Boots (Masterpiece),T1_CLOTH_BOOTS_Q4,1,100
BOOTS,Cloth Boots (Outstanding),T1_CLOTH_BOOTS_Q2,1,120
BOOTS,Leather Boots,T1_LEATHER_BOOTS,1,40
BOOTS,Leather Boots (Excellent),T1_LEATHER_BOOTS_Q3,1,60
BOOTS,Leather Boots (Good),T1_LEATHER_BOOTS_Q1,1,80
BOOTS,Leather Boots (Masterpiece),T1_LEATHER_BOOTS_Q4,1,100
BOOTS,Leather Boots (Outstanding),T1_LEATHER_BOOTS_Q2,1,120
BOOTS,Plate Boots,T1_PLATE_BOOTS,1,40
BOOTS,Plate Boots (Excellent),T1_PLATE_BOOTS_Q3,1,60
BOOTS,Plate Boots (Good),T1_PLATE_BOOTS_Q1,1,80
BOOTS,Plate Boots (Masterpiece),T1_PLATE_BOOTS_Q4,1,100
BOOTS,Plate Boots (Outstanding),T1_PLATE_BOOTS_Q2,1,120
BOOTS,Cloth Boots,T2_CLOTH_BOOTS,2,80
BOOTS,Cloth Boots (Excellent),T2_CLOTH_BOOTS_Q3,2,120
BOOTS,Cloth Boots (Good),T2_CLOTH_BOOTS_Q1,2,160
BOOTS,Cloth Boots (Masterpiece),T2_CLOTH_BOOTS_Q4,2,200
BOOTS,Cloth Boots (Outstanding),T2_CLOTH_BOOTS_Q2,2,240
BOOTS,Leather Boots,T2_LEATHER_BOOTS,2,80
BOOTS,Leather Boots (Excellent),T2_LEATHER_BOOTS_Q3,2,120
BOOTS,Leather Boots (Good),T2_LEATHER_BOOTS_Q1,2,160
BOOTS,Leather Boots (Masterpiece),T2_LEATHER_BOOTS_Q4,2,200
BOOTS,Leather Boots (Outstanding),T2_LEATHER_BOOTS_Q2,2,240
BOOTS,Plate Boots,T2_PLATE_BOOTS,2,80
BOOTS,Plate Boots (Excellent),T2_PLATE_BOOTS_Q3,2,120
BOOTS,Plate Boots (Good),T2_PLATE_BOOTS_Q1,2,160
BOOTS,Plate Boots (Masterpiece),T2_PLATE_BOOTS_Q4,2,200
BOOTS,Plate Boots (Outstanding),T2_PLATE_BOOTS_Q2,2,240
BOOTS,Cloth Boots,T3_CLOTH_BOOTS,3,160
BOOTS,Cloth Boots (Excellent),T3_CLOTH_BOOTS_Q3,3,240
BOOTS,Cloth Boots (Good),T3_CLOTH_BOOTS_Q1,3,320
BOOTS,Cloth Boots (Masterpiece),T3_CLOTH_BOOTS_Q4,3,400
BOOTS,Cloth Boots (Outstanding),T3_CLOTH_BOOTS_Q2,3,480
BOOTS,Leather Boots,T3_LEATHER_BOOTS,3,160
BOOTS,Leather Boots (Excellent),T3_LEATHER_BOOTS_Q3,3,240
BOOTS,Leather Boots (Good),T3_LEATHER_BOOTS_Q1,3,320
BOOTS,Leather Boots (Masterpiece),T3_LEATHER_BOOTS_Q4,3,400
BOOTS,Leather Boots (Outstanding),T3_LEATHER_BOOTS_Q2,3,480
BOOTS,Plate Boots,T3_PLATE_BOOTS,3,160
BOOTS,Plate Boots (Excellent),T3_PLATE_BOOTS_Q3,3,240
BOOTS,Plate Boots (Good),T3_PLATE_BOOTS_Q1,3,320
BOOTS,Plate Boots (Masterpiece),T3_PLATE_BOOTS_Q4,3,400
BOOTS,Plate Boots (Outstanding),T3_PLATE_BOOTS_Q2,3,480
BOOTS,Cloth Boots,T4_CLOTH_BOOTS,4,280
BOOTS,Cloth Boots (Excellent),T4_CLOTH_BOOTS_Q3,4,420
BOOTS,Cloth Boots (Good),T4_CLOTH_BOOTS_Q1,4,560
BOOTS,Cloth Boots (Masterpiece),T4_CLOTH_BOOTS_Q4,4,700
BOOTS,Cloth Boots (Outstanding),T4_CLOTH_BOOTS_Q2,4,840
BOOTS,Leather Boots,T4_LEATHER_BOOTS,4,280
BOOTS,Leather Boots (Excellent),T4_LEATHER_BOOTS_Q3,4,420
BOOTS,Leather Boots (Good),T4_LEATHER_BOOTS_Q1,4,560
BOOTS,Leather Boots (Masterpiece),T4_LEATHER_BOOTS_Q4,4,700
BOOTS,Leather Boots (Outstanding),T4_LEATHER_BOOTS_Q2,4,840
BOOTS,Plate Boots,T4_PLATE_BOOTS,4,280
BOOTS,Plate Boots (Excellent),T4_PLATE_BOOTS_Q3,4,420
BOOTS,Plate Boots (Good),T4_PLATE_BOOTS_Q1,4,560
BOOTS,Plate Boots (Masterpiece),T4_PLATE_BOOTS_Q4,4,700
BOOTS,Plate Boots (Outstanding),T4_PLATE_BOOTS_Q2,4,840
BOOTS,Cloth Boots,T5_CLOTH_BOOTS,5,440
BOOTS,Cloth Boots (Excellent),T5_CLOTH_BOOTS_Q3,5,660
BOOTS,Cloth Boots (Good),T5_CLOTH_BOOTS_Q1,5,880
BOOTS,Cloth Boots (Masterpiece),T5_CLOTH_BOOTS_Q4,5,1100
BOOTS,Cloth Boots (Outstanding),T5_CLOTH_BOOTS_Q2,5,1320
BOOTS,Leather Boots,T5_LEATHER_BOOTS,5,440
BOOTS,Leather Boots (Excellent),T5_LEATHER_BOOTS_Q3,5,660
BOOTS,Leather Boots (Good),T5_LEATHER_BOOTS_Q1,5,880
BOOTS,Leather Boots (Masterpiece),T5_LEATHER_BOOTS_Q4,5,1100
BOOTS,Leather Boots (Outstanding),T5_LEATHER_BOOTS_Q2,5,1320
BOOTS,Plate Boots,T5_PLATE_BOOTS,5,440
BOOTS,Plate Boots (Excellent),T5_PLATE_BOOTS_Q3,5,660
BOOTS,Plate Boots (Good),T5_PLATE_BOOTS_Q1,5,880
BOOTS,Plate Boots (Masterpiece),T5_PLATE_BOOTS_Q4,5,1100
BOOTS,Plate Boots (Outstanding),T5_PLATE_BOOTS_Q2,5,1320
BOOTS,Cloth Boots,T6_CLOTH_BOOTS,6,640
BOOTS,Cloth Boots (Excellent),T6_CLOTH_BOOTS_Q3,6,960
BOOTS,Cloth Boots (Good),T6_CLOTH_BOOTS_Q1,6,1280
BOOTS,Cloth Boots (Masterpiece),T6_CLOTH_BOOTS_Q4,6,1600
BOOTS,Cloth Boots (Outstanding),T6_CLOTH_BOOTS_Q2,6,1920
BOOTS,Leather Boots,T6_LEATHER_BOOTS,6,640
BOOTS,Leather Boots (Excellent),T6_LEATHER_BOOTS_Q3,6,960
BOOTS,Leather Boots (Good),T6_LEATHER_BOOTS_Q1,6,1280
BOOTS,Leather Boots (Masterpiece),T6_LEATHER_BOOTS_Q4,6,1600
BOOTS,Leather Boots (Outstanding),T6_LEATHER_BOOTS_Q2,6,1920
BOOTS,Plate Boots,T6_PLATE_BOOTS,6,640
BOOTS,Plate Boots (Excellent),T6_PLATE_BOOTS_Q3,6,960
BOOTS,Plate Boots (Good),T6_PLATE_BOOTS_Q1,6,1280
BOOTS,Plate Boots (Masterpiece),T6_PLATE_BOOTS_Q4,6,1600
BOOTS,Plate Boots (Outstanding),T6_PLATE_BOOTS_Q2,6,1920
BOOTS,Cloth Boots,T7_CLOTH_BOOTS,7,880
BOOTS,Cloth Boots (Excellent),T7_CLOTH_BOOTS_Q3,7,1320
BOOTS,Cloth Boots (Good),T7_CLOTH_BOOTS_Q1,7,1760
BOOTS,Cloth Boots (Masterpiece),T7_CLOTH_BOOTS_Q4,7,2200
BOOTS,Cloth Boots (Outstanding),T7_CLOTH_BOOTS_Q2,7,2640
BOOTS,Leather Boots,T7_LEATHER_BOOTS,7,880
BOOTS,Leather Boots (Excellent),T7_LEATHER_BOOTS_Q3,7,1320
BOOTS,Leather Boots (Good),T7_LEATHER_BOOTS_Q1,7,1760
BOOTS,Leather Boots (Masterpiece),T7_LEATHER_BOOTS_Q4,7,2200
BOOTS,Leather Boots (Outstanding),T7_LEATHER_BOOTS_Q2,7,2640
BOOTS,Plate Boots,T7_PLATE_BOOTS,7,880
BOOTS,Plate Boots (Excellent),T7_PLATE_BOOTS_Q3,7,1320
BOOTS,Plate Boots (Good),T7_PLATE_BOOTS_Q1,7,1760
BOOTS,Plate Boots (Masterpiece),T7_PLATE_BOOTS_Q4,7,2200
BOOTS,Plate Boots (Outstanding),T7_PLATE_BOOTS_Q2,7,2640
BOOTS,Cloth Boots,T8_CLOTH_BOOTS,8,1160
BOOTS,Cloth Boots (Excellent),T8_CLOTH_BOOTS_Q3,8,1740
BOOTS,Cloth Boots (Good),T8_CLOTH_BOOTS_Q1,8,2320
BOOTS,Cloth Boots (Masterpiece),T8_CLOTH_BOOTS_Q4,8,2900
BOOTS,Cloth Boots (Outstanding),T8_CLOTH_BOOTS_Q2,8,3480
BOOTS,Leather Boots,T8_LEATHER_BOOTS,8,1160
BOOTS,Leather Boots (Excellent),T8_LEATHER_BOOTS_Q3,8,1740
BOOTS,Leather Boots (Good),T8_LEATHER_BOOTS_Q1,8,2320
BOOTS,Leather Boots (Masterpiece),T8_LEATHER_BOOTS_Q4,8,2900
BOOTS,Leather Boots (Outstanding),T8_LEATHER_BOOTS_Q2,8,3480
BOOTS,Plate Boots,T8_PLATE_BOOTS,8,1160
BOOTS,Plate Boots (Excellent),T8_PLATE_BOOTS_Q3,8,1740
BOOTS,Plate Boots (Good),T8_PLATE_BOOTS_Q1,8,2320
BOOTS,Plate Boots (Masterpiece),T8_PLATE_BOOTS_Q4,8,2900
BOOTS,Plate Boots (Outstanding),T8_PLATE_BOOTS_Q2,8,3480
BOOTS,Cloth Boots,T9_CLOTH_BOOTS,9,1480
BOOTS,Cloth Boots (Excellent),T9_CLOTH_BOOTS_Q3,9,2220
BOOTS,Cloth Boots (Good),T9_CLOTH_BOOTS_Q1,9,2960
BOOTS,Cloth Boots (Masterpiece),T9_CLOTH_BOOTS_Q4,9,3700
BOOTS,Cloth Boots (Outstanding),T9_CLOTH_BOOTS_Q2,9,4440
BOOTS,Leather Boots,T9_LEATHER_BOOTS,9,1480
BOOTS,Leather Boots (Excellent),T9_LEATHER_BOOTS_Q3,9,2220
BOOTS,Leather Boots (Good),T9_LEATHER_BOOTS_Q1,9,2960
BOOTS,Leather Boots (Masterpiece),T9_LEATHER_BOOTS_Q4,9,3700
BOOTS,Leather Boots (Outstanding),T9_LEATHER_BOOTS_Q2,9,4440
BOOTS,Plate Boots,T9_PLATE_BOOTS,9,1480
BOOTS,Plate Boots (Excellent),T9_PLATE_BOOTS_Q3,9,2220
BOOTS,Plate Boots (Good),T9_PLATE_BOOTS_Q1,9,2960
BOOTS,Plate Boots (Masterpiece),T9_PLATE_BOOTS_Q4,9,3700
BOOTS,Plate Boots (Outstanding),T9_PLATE_BOOTS_Q2,9,4440
BOOTS,Cloth Boots,T10_CLOTH_BOOTS,10,1840
BOOTS,Cloth Boots (Excellent),T10_CLOTH_BOOTS_Q3,10,2760
BOOTS,Cloth Boots (Good),T10_CLOTH_BOOTS_Q1,10,3680
BOOTS,Cloth Boots (Masterpiece),T10_CLOTH_BOOTS_Q4,10,4600
BOOTS,Cloth Boots (Outstanding),T10_CLOTH_BOOTS_Q2,10,5520
BOOTS,Leather Boots,T10_LEATHER_BOOTS,10,1840
BOOTS,Leather Boots (Excellent),T10_LEATHER_BOOTS_Q3,10,2760
BOOTS,Leather Boots (Good),T10_LEATHER_BOOTS_Q1,10,3680
BOOTS,Leather Boots (Masterpiece),T10_LEATHER_BOOTS_Q4,10,4600
BOOTS,Leather Boots (Outstanding),T10_LEATHER_BOOTS_Q2,10,5520
BOOTS,Plate Boots,T10_PLATE_BOOTS,10,1840
BOOTS,Plate Boots (Excellent),T10_PLATE_BOOTS_Q3,10,2760
BOOTS,Plate Boots (Good),T10_PLATE_BOOTS_Q1,10,3680
BOOTS,Plate Boots (Masterpiece),T10_PLATE_BOOTS_Q4,10,4600
BOOTS,Plate Boots (Outstanding),T10_PLATE_BOOTS_Q2,10,5520
CAPE,Leather Cape,T1_LEATHER_CAPE,1,40
CAPE,Leather Cape (Excellent),T1_LEATHER_CAPE_Q3,1,60
CAPE,Leather Cape (Good),T1_LEATHER_CAPE_Q1,1,80
CAPE,Leather Cape (Masterpiece),T1_LEATHER_CAPE_Q4,1,100
CAPE,Leather Cape (Outstanding),T1_LEATHER_CAPE_Q2,1,120
CAPE,Mage Cape,T1_MAGE_CAPE,1,40
CAPE,Mage Cape (Excellent),T1_MAGE_CAPE_Q3,1,60
CAPE,Mage Cape (Good),T1_MAGE_CAPE_Q1,1,80
CAPE,Mage Cape (Masterpiece),T1_MAGE_CAPE_Q4,1,100
CAPE,Mage Cape (Outstanding),T1_MAGE_CAPE_Q2,1,120
CAPE,Plate Cape,T1_PLATE_CAPE,1,40
CAPE,Plate Cape (Excellent),T1_PLATE_CAPE_Q3,1,60
CAPE,Plate Cape (Good),T1_PLATE_CAPE_Q1,1,80
CAPE,Plate Cape (Masterpiece),T1_PLATE_CAPE_Q4,1,100
CAPE,Plate Cape (Outstanding),T1_PLATE_CAPE_Q2,1,120
CAPE,Leather Cape,T2_LEATHER_CAPE,2,80
CAPE,Leather Cape (Excellent),T2_LEATHER_CAPE_Q3,2,120
CAPE,Leather Cape (Good),T2_LEATHER_CAPE_Q1,2,160
CAPE,Leather Cape (Masterpiece),T2_LEATHER_CAPE_Q4,2,200
CAPE,Leather Cape (Outstanding),T2_LEATHER_CAPE_Q2,2,240
CAPE,Mage Cape,T2_MAGE_CAPE,2,80
CAPE,Mage Cape (Excellent),T2_MAGE_CAPE_Q3,2,120
CAPE,Mage Cape (Good),T2_MAGE_CAPE_Q1,2,160
CAPE,Mage Cape (Masterpiece),T2_MAGE_CAPE_Q4,2,200
CAPE,Mage Cape (Outstanding),T2_MAGE_CAPE_Q2,2,240
CAPE,Plate Cape,T2_PLATE_CAPE,2,80
CAPE,Plate Cape (Excellent),T2_PLATE_CAPE_Q3,2,120
CAPE,Plate Cape (Good),T2_PLATE_CAPE_Q1,2,160
CAPE,Plate Cape (Masterpiece),T2_PLATE_CAPE_Q4,2,200
CAPE,Plate Cape (Outstanding),T2_PLATE_CAPE_Q2,2,240
CAPE,Leather Cape,T3_LEATHER_CAPE,3,160
CAPE,Leather Cape (Excellent),T3_LEATHER_CAPE_Q3,3,240
CAPE,Leather Cape (Good),T3_LEATHER_CAPE_Q1,3,320
CAPE,Leather Cape (Masterpiece),T3_LEATHER_CAPE_Q4,3,400
CAPE,Leather Cape (Outstanding),T3_LEATHER_CAPE_Q2,3,480
CAPE,Mage Cape,T3_MAGE_CAPE,3,160
CAPE,Mage Cape (Excellent),T3_MAGE_CAPE_Q3,3,240
CAPE,Mage Cape (Good),T3_MAGE_CAPE_Q1,3,320
CAPE,Mage Cape (Masterpiece),T3_MAGE_CAPE_Q4,3,400
CAPE,Mage Cape (Outstanding),T3_MAGE_CAPE_Q2,3,480
CAPE,Plate Cape,T3_PLATE_CAPE,3,160
CAPE,Plate Cape (Excellent),T3_PLATE_CAPE_Q3,3,240
CAPE,Plate Cape (Good),T3_PLATE_CAPE_Q1,3,320
CAPE,Plate Cape (Masterpiece),T3_PLATE_CAPE_Q4,3,400
CAPE,Plate Cape (Outstanding),T3_PLATE_CAPE_Q2,3,480
CAPE,Leather Cape,T4_LEATHER_CAPE,4,280
CAPE,Leather Cape (Excellent),T4_LEATHER_CAPE_Q3,4,420
CAPE,Leather Cape (Good),T4_LEATHER_CAPE_Q1,4,560
CAPE,Leather Cape (Masterpiece),T4_LEATHER_CAPE_Q4,4,700
CAPE,Leather Cape (Outstanding),T4_LEATHER_CAPE_Q2,4,840
CAPE,Mage Cape,T4_MAGE_CAPE,4,280
CAPE,Mage Cape (Excellent),T4_MAGE_CAPE_Q3,4,420
CAPE,Mage Cape (Good),T4_MAGE_CAPE_Q1,4,560
CAPE,Mage Cape (Masterpiece),T4_MAGE_CAPE_Q4,4,700
