Category,ID,Name,Tier,Type,CurrentIcon
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 4","T4_PLATE_ARMOR","Plate Armor","4","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 5","T5_PLATE_ARMOR","Plate Armor","5","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 6","T6_PLATE_ARMOR","Plate Armor","6","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 7","T7_PLATE_ARMOR","Plate Armor","7","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 8","T8_PLATE_ARMOR","Plate Armor","8","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 9","T9_PLATE_ARMOR","Plate Armor","9","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_ARMOR > 10","T10_PLATE_ARMOR","Plate Armor","10","ARMOR","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 1","T1_PLATE_HELMET","Plate Helmet","1","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 2","T2_PLATE_HELMET","Plate Helmet","2","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 3","T3_PLATE_HELMET","Plate Helmet","3","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 4","T4_PLATE_HELMET","Plate Helmet","4","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 5","T5_PLATE_HELMET","Plate Helmet","5","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 6","T6_PLATE_HELMET","Plate Helmet","6","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 7","T7_PLATE_HELMET","Plate Helmet","7","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 8","T8_PLATE_HELMET","Plate Helmet","8","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 9","T9_PLATE_HELMET","Plate Helmet","9","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_HELMET > 10","T10_PLATE_HELMET","Plate Helmet","10","HELMET","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 1","T1_PLATE_BOOTS","Plate Boots","1","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 2","T2_PLATE_BOOTS","Plate Boots","2","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 3","T3_PLATE_BOOTS","Plate Boots","3","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 4","T4_PLATE_BOOTS","Plate Boots","4","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 5","T5_PLATE_BOOTS","Plate Boots","5","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 6","T6_PLATE_BOOTS","Plate Boots","6","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 7","T7_PLATE_BOOTS","Plate Boots","7","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 8","T8_PLATE_BOOTS","Plate Boots","8","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 9","T9_PLATE_BOOTS","Plate Boots","9","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_BOOTS > 10","T10_PLATE_BOOTS","Plate Boots","10","BOOTS","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 1","T1_PLATE_GLOVES","Plate Gloves","1","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 2","T2_PLATE_GLOVES","Plate Gloves","2","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 3","T3_PLATE_GLOVES","Plate Gloves","3","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 4","T4_PLATE_GLOVES","Plate Gloves","4","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 5","T5_PLATE_GLOVES","Plate Gloves","5","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 6","T6_PLATE_GLOVES","Plate Gloves","6","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 7","T7_PLATE_GLOVES","Plate Gloves","7","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 8","T8_PLATE_GLOVES","Plate Gloves","8","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 9","T9_PLATE_GLOVES","Plate Gloves","9","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_GLOVES > 10","T10_PLATE_GLOVES","Plate Gloves","10","GLOVES","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 1","T1_PLATE_CAPE","Plate Cape","1","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 2","T2_PLATE_CAPE","Plate Cape","2","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 3","T3_PLATE_CAPE","Plate Cape","3","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 4","T4_PLATE_CAPE","Plate Cape","4","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 5","T5_PLATE_CAPE","Plate Cape","5","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 6","T6_PLATE_CAPE","Plate Cape","6","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 7","T7_PLATE_CAPE","Plate Cape","7","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 8","T8_PLATE_CAPE","Plate Cape","8","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 9","T9_PLATE_CAPE","Plate Cape","9","CAPE","NONE"
"GEAR > WARRIORS_FORGE > PLATE_CAPE > 10","T10_PLATE_CAPE","Plate Cape","10","CAPE","NONE"
"GEAR > HUNTERS_LODGE > BOW > 1","T1_BOW","Bow","1","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 2","T2_BOW","Bow","2","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 3","T3_BOW","Bow","3","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 4","T4_BOW","Bow","4","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 5","T5_BOW","Bow","5","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 6","T6_BOW","Bow","6","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 7","T7_BOW","Bow","7","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 8","T8_BOW","Bow","8","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 9","T9_BOW","Bow","9","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > BOW > 10","T10_BOW","Bow","10","WEAPON","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 1","T1_TORCH","Torch","1","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 2","T2_TORCH","Torch","2","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 3","T3_TORCH","Torch","3","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 4","T4_TORCH","Torch","4","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 5","T5_TORCH","Torch","5","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 6","T6_TORCH","Torch","6","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 7","T7_TORCH","Torch","7","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 8","T8_TORCH","Torch","8","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 9","T9_TORCH","Torch","9","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > TORCH > 10","T10_TORCH","Torch","10","OFF_HAND","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 1","T1_LEATHER_ARMOR","Leather Armor","1","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 2","T2_LEATHER_ARMOR","Leather Armor","2","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 3","T3_LEATHER_ARMOR","Leather Armor","3","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 4","T4_LEATHER_ARMOR","Leather Armor","4","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 5","T5_LEATHER_ARMOR","Leather Armor","5","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 6","T6_LEATHER_ARMOR","Leather Armor","6","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 7","T7_LEATHER_ARMOR","Leather Armor","7","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 8","T8_LEATHER_ARMOR","Leather Armor","8","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 9","T9_LEATHER_ARMOR","Leather Armor","9","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_ARMOR > 10","T10_LEATHER_ARMOR","Leather Armor","10","ARMOR","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 1","T1_LEATHER_HELMET","Leather Helmet","1","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 2","T2_LEATHER_HELMET","Leather Helmet","2","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 3","T3_LEATHER_HELMET","Leather Helmet","3","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 4","T4_LEATHER_HELMET","Leather Helmet","4","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 5","T5_LEATHER_HELMET","Leather Helmet","5","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 6","T6_LEATHER_HELMET","Leather Helmet","6","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 7","T7_LEATHER_HELMET","Leather Helmet","7","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 8","T8_LEATHER_HELMET","Leather Helmet","8","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 9","T9_LEATHER_HELMET","Leather Helmet","9","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_HELMET > 10","T10_LEATHER_HELMET","Leather Helmet","10","HELMET","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 1","T1_LEATHER_BOOTS","Leather Boots","1","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 2","T2_LEATHER_BOOTS","Leather Boots","2","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 3","T3_LEATHER_BOOTS","Leather Boots","3","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 4","T4_LEATHER_BOOTS","Leather Boots","4","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 5","T5_LEATHER_BOOTS","Leather Boots","5","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 6","T6_LEATHER_BOOTS","Leather Boots","6","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 7","T7_LEATHER_BOOTS","Leather Boots","7","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 8","T8_LEATHER_BOOTS","Leather Boots","8","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 9","T9_LEATHER_BOOTS","Leather Boots","9","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_BOOTS > 10","T10_LEATHER_BOOTS","Leather Boots","10","BOOTS","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 1","T1_LEATHER_GLOVES","Leather Gloves","1","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 2","T2_LEATHER_GLOVES","Leather Gloves","2","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 3","T3_LEATHER_GLOVES","Leather Gloves","3","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 4","T4_LEATHER_GLOVES","Leather Gloves","4","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 5","T5_LEATHER_GLOVES","Leather Gloves","5","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 6","T6_LEATHER_GLOVES","Leather Gloves","6","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 7","T7_LEATHER_GLOVES","Leather Gloves","7","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 8","T8_LEATHER_GLOVES","Leather Gloves","8","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 9","T9_LEATHER_GLOVES","Leather Gloves","9","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_GLOVES > 10","T10_LEATHER_GLOVES","Leather Gloves","10","GLOVES","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 1","T1_LEATHER_CAPE","Leather Cape","1","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 2","T2_LEATHER_CAPE","Leather Cape","2","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 3","T3_LEATHER_CAPE","Leather Cape","3","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 4","T4_LEATHER_CAPE","Leather Cape","4","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 5","T5_LEATHER_CAPE","Leather Cape","5","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 6","T6_LEATHER_CAPE","Leather Cape","6","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 7","T7_LEATHER_CAPE","Leather Cape","7","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 8","T8_LEATHER_CAPE","Leather Cape","8","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 9","T9_LEATHER_CAPE","Leather Cape","9","CAPE","NONE"
"GEAR > HUNTERS_LODGE > LEATHER_CAPE > 10","T10_LEATHER_CAPE","Leather Cape","10","CAPE","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 1","T1_FIRE_STAFF","Fire Staff","1","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 2","T2_FIRE_STAFF","Fire Staff","2","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 3","T3_FIRE_STAFF","Fire Staff","3","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 4","T4_FIRE_STAFF","Fire Staff","4","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 5","T5_FIRE_STAFF","Fire Staff","5","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 6","T6_FIRE_STAFF","Fire Staff","6","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 7","T7_FIRE_STAFF","Fire Staff","7","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 8","T8_FIRE_STAFF","Fire Staff","8","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 9","T9_FIRE_STAFF","Fire Staff","9","WEAPON","NONE"
"GEAR > MAGES_TOWER > FIRE_STAFF > 10","T10_FIRE_STAFF","Fire Staff","10","WEAPON","NONE"
"GEAR > MAGES_TOWER > TOME > 1","T1_TOME","Tome","1","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 2","T2_TOME","Tome","2","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 3","T3_TOME","Tome","3","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 4","T4_TOME","Tome","4","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 5","T5_TOME","Tome","5","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 6","T6_TOME","Tome","6","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 7","T7_TOME","Tome","7","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 8","T8_TOME","Tome","8","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 9","T9_TOME","Tome","9","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > TOME > 10","T10_TOME","Tome","10","OFF_HAND","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 1","T1_CLOTH_ARMOR","Cloth Armor","1","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 2","T2_CLOTH_ARMOR","Cloth Armor","2","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 3","T3_CLOTH_ARMOR","Cloth Armor","3","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 4","T4_CLOTH_ARMOR","Cloth Armor","4","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 5","T5_CLOTH_ARMOR","Cloth Armor","5","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 6","T6_CLOTH_ARMOR","Cloth Armor","6","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 7","T7_CLOTH_ARMOR","Cloth Armor","7","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 8","T8_CLOTH_ARMOR","Cloth Armor","8","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 9","T9_CLOTH_ARMOR","Cloth Armor","9","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_ARMOR > 10","T10_CLOTH_ARMOR","Cloth Armor","10","ARMOR","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 1","T1_CLOTH_HELMET","Cloth Helmet","1","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 2","T2_CLOTH_HELMET","Cloth Helmet","2","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 3","T3_CLOTH_HELMET","Cloth Helmet","3","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 4","T4_CLOTH_HELMET","Cloth Helmet","4","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 5","T5_CLOTH_HELMET","Cloth Helmet","5","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 6","T6_CLOTH_HELMET","Cloth Helmet","6","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 7","T7_CLOTH_HELMET","Cloth Helmet","7","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 8","T8_CLOTH_HELMET","Cloth Helmet","8","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 9","T9_CLOTH_HELMET","Cloth Helmet","9","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_HELMET > 10","T10_CLOTH_HELMET","Cloth Helmet","10","HELMET","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 1","T1_CLOTH_BOOTS","Cloth Boots","1","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 2","T2_CLOTH_BOOTS","Cloth Boots","2","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 3","T3_CLOTH_BOOTS","Cloth Boots","3","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 4","T4_CLOTH_BOOTS","Cloth Boots","4","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 5","T5_CLOTH_BOOTS","Cloth Boots","5","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 6","T6_CLOTH_BOOTS","Cloth Boots","6","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 7","T7_CLOTH_BOOTS","Cloth Boots","7","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 8","T8_CLOTH_BOOTS","Cloth Boots","8","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 9","T9_CLOTH_BOOTS","Cloth Boots","9","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_BOOTS > 10","T10_CLOTH_BOOTS","Cloth Boots","10","BOOTS","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 1","T1_CLOTH_GLOVES","Cloth Gloves","1","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 2","T2_CLOTH_GLOVES","Cloth Gloves","2","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 3","T3_CLOTH_GLOVES","Cloth Gloves","3","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 4","T4_CLOTH_GLOVES","Cloth Gloves","4","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 5","T5_CLOTH_GLOVES","Cloth Gloves","5","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 6","T6_CLOTH_GLOVES","Cloth Gloves","6","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 7","T7_CLOTH_GLOVES","Cloth Gloves","7","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 8","T8_CLOTH_GLOVES","Cloth Gloves","8","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 9","T9_CLOTH_GLOVES","Cloth Gloves","9","GLOVES","NONE"
"GEAR > MAGES_TOWER > CLOTH_GLOVES > 10","T10_CLOTH_GLOVES","Cloth Gloves","10","GLOVES","NONE"
"GEAR > MAGES_TOWER > CAPE > 1","T1_MAGE_CAPE","Mage Cape","1","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 2","T2_MAGE_CAPE","Mage Cape","2","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 3","T3_MAGE_CAPE","Mage Cape","3","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 4","T4_MAGE_CAPE","Mage Cape","4","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 5","T5_MAGE_CAPE","Mage Cape","5","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 6","T6_MAGE_CAPE","Mage Cape","6","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 7","T7_MAGE_CAPE","Mage Cape","7","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 8","T8_MAGE_CAPE","Mage Cape","8","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 9","T9_MAGE_CAPE","Mage Cape","9","CAPE","NONE"
"GEAR > MAGES_TOWER > CAPE > 10","T10_MAGE_CAPE","Mage Cape","10","CAPE","NONE"
"MAPS > 1","T1_DUNGEON_MAP","Dungeon Map","1","MAP","NONE"
"MAPS > 2","T2_DUNGEON_MAP","Dungeon Map","2","MAP","NONE"
"MAPS > 3","T3_DUNGEON_MAP","Dungeon Map","3","MAP","NONE"
"MAPS > 4","T4_DUNGEON_MAP","Dungeon Map","4","MAP","NONE"
"MAPS > 5","T5_DUNGEON_MAP","Dungeon Map","5","MAP","NONE"
"MAPS > 6","T6_DUNGEON_MAP","Dungeon Map","6","MAP","NONE"
"MAPS > 7","T7_DUNGEON_MAP","Dungeon Map","7","MAP","NONE"
"MAPS > 8","T8_DUNGEON_MAP","Dungeon Map","8","MAP","NONE"
"MAPS > 9","T9_DUNGEON_MAP","Dungeon Map","9","MAP","NONE"
"MAPS > 10","T10_DUNGEON_MAP","Dungeon Map","10","MAP","NONE"
"SPECIAL > CREST > 1","T1_CREST","Boss Crest","1","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 2","T2_CREST","Boss Crest","2","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 3","T3_CREST","Boss Crest","3","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 4","T4_CREST","Boss Crest","4","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 5","T5_CREST","Boss Crest","5","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 6","T6_CREST","Boss Crest","6","CRAFTING_MATERIAL","NONE"
"SPECIAL > CREST > 7","T7_CREST","Boss Crest","7","CRAFTING_MATERIAL","NONE"
