Category;Slot;Item ID;Full Name;Tier;Quality;IP;Damage;Defense;HP;Attack Speed / Speed;Crit Chance;Efficiency %;Resources Required
Warrior;SHEATH;T5_SHEATH_Q1;"Good Sheath";5;Good;520;87.1;191.3;318.9;0;0;0;"20x T5_BAR"
Warrior;SHEATH;T5_SHEATH_Q2;"Outstanding Sheath";5;Outstanding;550;91.5;200.9;334.8;0;0;0;"20x T5_BAR"
Warrior;SHEATH;T5_SHEATH_Q3;"Excellent Sheath";5;Excellent;600;96.1;210.9;351.6;0;0;0;"20x T5_BAR"
Warrior;SHEATH;T5_SHEATH_Q4;"Masterpiece Sheath";5;Masterpiece;700;100.9;221.5;369.1;0;0;0;"20x T5_BAR"
Warrior;SHEATH;T6_SHEATH;"Sheath";6;Normal;600;105.9;232.6;387.6;0;0;0;"20x T6_BAR"
Warrior;SHEATH;T6_SHEATH_Q1;"Good Sheath";6;Good;620;111.2;244.2;407;0;0;0;"20x T6_BAR"
Warrior;SHEATH;T6_SHEATH_Q2;"Outstanding Sheath";6;Outstanding;650;116.8;256.4;427.3;0;0;0;"20x T6_BAR"
Warrior;SHEATH;T6_SHEATH_Q3;"Excellent Sheath";6;Excellent;700;122.6;269.2;448.7;0;0;0;"20x T6_BAR"
Warrior;SHEATH;T6_SHEATH_Q4;"Masterpiece Sheath";6;Masterpiece;800;128.7;282.7;471.1;0;0;0;"20x T6_BAR"
Warrior;SHEATH;T7_SHEATH;"Sheath";7;Normal;700;135.2;296.8;494.7;0;0;0;"20x T7_BAR"
Warrior;SHEATH;T7_SHEATH_Q1;"Good Sheath";7;Good;720;141.9;311.6;519.4;0;0;0;"20x T7_BAR"
Warrior;SHEATH;T7_SHEATH_Q2;"Outstanding Sheath";7;Outstanding;750;149;327.2;545.4;0;0;0;"20x T7_BAR"
Warrior;SHEATH;T7_SHEATH_Q3;"Excellent Sheath";7;Excellent;800;156.5;343.6;572.6;0;0;0;"20x T7_BAR"
Warrior;SHEATH;T7_SHEATH_Q4;"Masterpiece Sheath";7;Masterpiece;900;164.3;360.8;601.3;0;0;0;"20x T7_BAR"
Warrior;SHEATH;T8_SHEATH;"Sheath";8;Normal;800;172.5;378.8;631.3;0;0;0;"20x T8_BAR"
Warrior;SHEATH;T8_SHEATH_Q1;"Good Sheath";8;Good;820;181.2;397.7;662.9;0;0;0;"20x T8_BAR"
Warrior;SHEATH;T8_SHEATH_Q2;"Outstanding Sheath";8;Outstanding;850;190.2;417.6;696;0;0;0;"20x T8_BAR"
Warrior;SHEATH;T8_SHEATH_Q3;"Excellent Sheath";8;Excellent;900;199.7;438.5;730.8;0;0;0;"20x T8_BAR"
Warrior;SHEATH;T8_SHEATH_Q4;"Masterpiece Sheath";8;Masterpiece;1000;209.7;460.4;767.4;0;0;0;"20x T8_BAR"
Warrior;SHEATH;T9_SHEATH;"Sheath";9;Normal;900;220.2;483.5;805.8;0;0;0;"20x T9_BAR"
Warrior;SHEATH;T9_SHEATH_Q1;"Good Sheath";9;Good;920;231.2;507.6;846;0;0;0;"20x T9_BAR"
Warrior;SHEATH;T9_SHEATH_Q2;"Outstanding Sheath";9;Outstanding;950;242.8;533;888.4;0;0;0;"20x T9_BAR"
Warrior;SHEATH;T9_SHEATH_Q3;"Excellent Sheath";9;Excellent;1000;254.9;559.7;932.8;0;0;0;"20x T9_BAR"
Warrior;SHEATH;T9_SHEATH_Q4;"Masterpiece Sheath";9;Masterpiece;1100;267.7;587.6;979.4;0;0;0;"20x T9_BAR"
Warrior;SHEATH;T10_SHEATH;"Sheath";10;Normal;1000;281;617;1028.4;0;0;0;"20x T10_BAR"
Warrior;SHEATH;T10_SHEATH_Q1;"Good Sheath";10;Good;1020;295.1;647.9;1079.8;0;0;0;"20x T10_BAR"
Warrior;SHEATH;T10_SHEATH_Q2;"Outstanding Sheath";10;Outstanding;1050;309.8;680.3;1133.8;0;0;0;"20x T10_BAR"
Warrior;SHEATH;T10_SHEATH_Q3;"Excellent Sheath";10;Excellent;1100;325.3;714.3;1190.5;0;0;0;"20x T10_BAR"
Warrior;SHEATH;T10_SHEATH_Q4;"Masterpiece Sheath";10;Masterpiece;1200;341.6;750;1250;0;0;0;"20x T10_BAR"
Warrior;PLATE_ARMOR;T1_PLATE_ARMOR;"Plate Armor";1;Normal;100;0;68.7;137.3;0;0;0;"20x T1_BAR"
Warrior;PLATE_ARMOR;T1_PLATE_ARMOR_Q1;"Good Plate Armor";1;Good;120;0;72.1;144.2;0;0;0;"20x T1_BAR"
Warrior;PLATE_ARMOR;T1_PLATE_ARMOR_Q2;"Outstanding Plate Armor";1;Outstanding;150;0;75.7;151.4;0;0;0;"20x T1_BAR"
Warrior;PLATE_ARMOR;T1_PLATE_ARMOR_Q3;"Excellent Plate Armor";1;Excellent;200;0;79.5;159;0;0;0;"20x T1_BAR"
Warrior;PLATE_ARMOR;T1_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";1;Masterpiece;300;0;83.5;166.9;0;0;0;"20x T1_BAR"
Warrior;PLATE_ARMOR;T2_PLATE_ARMOR;"Plate Armor";2;Normal;200;0;87.6;175.3;0;0;0;"20x T2_BAR"
Warrior;PLATE_ARMOR;T2_PLATE_ARMOR_Q1;"Good Plate Armor";2;Good;220;0;92;184.1;0;0;0;"20x T2_BAR"
Warrior;PLATE_ARMOR;T2_PLATE_ARMOR_Q2;"Outstanding Plate Armor";2;Outstanding;250;0;96.6;193.3;0;0;0;"20x T2_BAR"
Warrior;PLATE_ARMOR;T2_PLATE_ARMOR_Q3;"Excellent Plate Armor";2;Excellent;300;0;101.5;202.9;0;0;0;"20x T2_BAR"
Warrior;PLATE_ARMOR;T2_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";2;Masterpiece;400;0;106.5;213.1;0;0;0;"20x T2_BAR"
Warrior;PLATE_ARMOR;T3_PLATE_ARMOR;"Plate Armor";3;Normal;300;0;111.9;223.7;0;0;0;"20x T3_BAR"
Warrior;PLATE_ARMOR;T3_PLATE_ARMOR_Q1;"Good Plate Armor";3;Good;320;0;117.5;234.9;0;0;0;"20x T3_BAR"
Warrior;PLATE_ARMOR;T3_PLATE_ARMOR_Q2;"Outstanding Plate Armor";3;Outstanding;350;0;123.3;246.7;0;0;0;"20x T3_BAR"
Warrior;PLATE_ARMOR;T3_PLATE_ARMOR_Q3;"Excellent Plate Armor";3;Excellent;400;0;129.5;259;0;0;0;"20x T3_BAR"
Warrior;PLATE_ARMOR;T3_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";3;Masterpiece;500;0;136;271.9;0;0;0;"20x T3_BAR"
Warrior;PLATE_ARMOR;T4_PLATE_ARMOR;"Plate Armor";4;Normal;400;0;142.8;285.5;0;0;0;"20x T4_BAR"
Warrior;PLATE_ARMOR;T4_PLATE_ARMOR_Q1;"Good Plate Armor";4;Good;420;0;149.9;299.8;0;0;0;"20x T4_BAR"
Warrior;PLATE_ARMOR;T4_PLATE_ARMOR_Q2;"Outstanding Plate Armor";4;Outstanding;450;0;157.4;314.8;0;0;0;"20x T4_BAR"
Warrior;PLATE_ARMOR;T4_PLATE_ARMOR_Q3;"Excellent Plate Armor";4;Excellent;500;0;165.3;330.5;0;0;0;"20x T4_BAR"
Warrior;PLATE_ARMOR;T4_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";4;Masterpiece;600;0;173.5;347.1;0;0;0;"20x T4_BAR"
Warrior;PLATE_ARMOR;T5_PLATE_ARMOR;"Plate Armor";5;Normal;500;0;182.2;364.4;0;0;0;"20x T5_BAR"
Warrior;PLATE_ARMOR;T5_PLATE_ARMOR_Q1;"Good Plate Armor";5;Good;520;0;191.3;382.6;0;0;0;"20x T5_BAR"
Warrior;PLATE_ARMOR;T5_PLATE_ARMOR_Q2;"Outstanding Plate Armor";5;Outstanding;550;0;200.9;401.8;0;0;0;"20x T5_BAR"
Warrior;PLATE_ARMOR;T5_PLATE_ARMOR_Q3;"Excellent Plate Armor";5;Excellent;600;0;210.9;421.9;0;0;0;"20x T5_BAR"
Warrior;PLATE_ARMOR;T5_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";5;Masterpiece;700;0;221.5;443;0;0;0;"20x T5_BAR"
Warrior;PLATE_ARMOR;T6_PLATE_ARMOR;"Plate Armor";6;Normal;600;0;232.6;465.1;0;0;0;"20x T6_BAR"
Warrior;PLATE_ARMOR;T6_PLATE_ARMOR_Q1;"Good Plate Armor";6;Good;620;0;244.2;488.4;0;0;0;"20x T6_BAR"
Warrior;PLATE_ARMOR;T6_PLATE_ARMOR_Q2;"Outstanding Plate Armor";6;Outstanding;650;0;256.4;512.8;0;0;0;"20x T6_BAR"
Warrior;PLATE_ARMOR;T6_PLATE_ARMOR_Q3;"Excellent Plate Armor";6;Excellent;700;0;269.2;538.4;0;0;0;"20x T6_BAR"
Warrior;PLATE_ARMOR;T6_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";6;Masterpiece;800;0;282.7;565.3;0;0;0;"20x T6_BAR"
Warrior;PLATE_ARMOR;T7_PLATE_ARMOR;"Plate Armor";7;Normal;700;0;296.8;593.6;0;0;0;"20x T7_BAR"
Warrior;PLATE_ARMOR;T7_PLATE_ARMOR_Q1;"Good Plate Armor";7;Good;720;0;311.6;623.3;0;0;0;"20x T7_BAR"
Warrior;PLATE_ARMOR;T7_PLATE_ARMOR_Q2;"Outstanding Plate Armor";7;Outstanding;750;0;327.2;654.4;0;0;0;"20x T7_BAR"
Warrior;PLATE_ARMOR;T7_PLATE_ARMOR_Q3;"Excellent Plate Armor";7;Excellent;800;0;343.6;687.2;0;0;0;"20x T7_BAR"
Warrior;PLATE_ARMOR;T7_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";7;Masterpiece;900;0;360.8;721.5;0;0;0;"20x T7_BAR"
Warrior;PLATE_ARMOR;T8_PLATE_ARMOR;"Plate Armor";8;Normal;800;0;378.8;757.6;0;0;0;"20x T8_BAR"
Warrior;PLATE_ARMOR;T8_PLATE_ARMOR_Q1;"Good Plate Armor";8;Good;820;0;397.7;795.5;0;0;0;"20x T8_BAR"
Warrior;PLATE_ARMOR;T8_PLATE_ARMOR_Q2;"Outstanding Plate Armor";8;Outstanding;850;0;417.6;835.3;0;0;0;"20x T8_BAR"
Warrior;PLATE_ARMOR;T8_PLATE_ARMOR_Q3;"Excellent Plate Armor";8;Excellent;900;0;438.5;877;0;0;0;"20x T8_BAR"
Warrior;PLATE_ARMOR;T8_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";8;Masterpiece;1000;0;460.4;920.9;0;0;0;"20x T8_BAR"
Warrior;PLATE_ARMOR;T9_PLATE_ARMOR;"Plate Armor";9;Normal;900;0;483.5;966.9;0;0;0;"20x T9_BAR"
Warrior;PLATE_ARMOR;T9_PLATE_ARMOR_Q1;"Good Plate Armor";9;Good;920;0;507.6;1015.3;0;0;0;"20x T9_BAR"
Warrior;PLATE_ARMOR;T9_PLATE_ARMOR_Q2;"Outstanding Plate Armor";9;Outstanding;950;0;533;1066;0;0;0;"20x T9_BAR"
Warrior;PLATE_ARMOR;T9_PLATE_ARMOR_Q3;"Excellent Plate Armor";9;Excellent;1000;0;559.7;1119.3;0;0;0;"20x T9_BAR"
Warrior;PLATE_ARMOR;T9_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";9;Masterpiece;1100;0;587.6;1175.3;0;0;0;"20x T9_BAR"
Warrior;PLATE_ARMOR;T10_PLATE_ARMOR;"Plate Armor";10;Normal;1000;0;617;1234.1;0;0;0;"20x T10_BAR"
Warrior;PLATE_ARMOR;T10_PLATE_ARMOR_Q1;"Good Plate Armor";10;Good;1020;0;647.9;1295.8;0;0;0;"20x T10_BAR"
Warrior;PLATE_ARMOR;T10_PLATE_ARMOR_Q2;"Outstanding Plate Armor";10;Outstanding;1050;0;680.3;1360.5;0;0;0;"20x T10_BAR"
Warrior;PLATE_ARMOR;T10_PLATE_ARMOR_Q3;"Excellent Plate Armor";10;Excellent;1100;0;714.3;1428.6;0;0;0;"20x T10_BAR"
Warrior;PLATE_ARMOR;T10_PLATE_ARMOR_Q4;"Masterpiece Plate Armor";10;Masterpiece;1200;0;750;1500;0;0;0;"20x T10_BAR"
Warrior;PLATE_HELMET;T1_PLATE_HELMET;"Plate Helmet";1;Normal;100;0;45.8;91.6;0;0;0;"20x T1_BAR"
Warrior;PLATE_HELMET;T1_PLATE_HELMET_Q1;"Good Plate Helmet";1;Good;120;0;48.1;96.1;0;0;0;"20x T1_BAR"
Warrior;PLATE_HELMET;T1_PLATE_HELMET_Q2;"Outstanding Plate Helmet";1;Outstanding;150;0;50.5;100.9;0;0;0;"20x T1_BAR"
Warrior;PLATE_HELMET;T1_PLATE_HELMET_Q3;"Excellent Plate Helmet";1;Excellent;200;0;53;106;0;0;0;"20x T1_BAR"
Warrior;PLATE_HELMET;T1_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";1;Masterpiece;300;0;55.6;111.3;0;0;0;"20x T1_BAR"
Warrior;PLATE_HELMET;T2_PLATE_HELMET;"Plate Helmet";2;Normal;200;0;58.4;116.9;0;0;0;"20x T2_BAR"
Warrior;PLATE_HELMET;T2_PLATE_HELMET_Q1;"Good Plate Helmet";2;Good;220;0;61.4;122.7;0;0;0;"20x T2_BAR"
Warrior;PLATE_HELMET;T2_PLATE_HELMET_Q2;"Outstanding Plate Helmet";2;Outstanding;250;0;64.4;128.8;0;0;0;"20x T2_BAR"
Warrior;PLATE_HELMET;T2_PLATE_HELMET_Q3;"Excellent Plate Helmet";2;Excellent;300;0;67.6;135.3;0;0;0;"20x T2_BAR"
Warrior;PLATE_HELMET;T2_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";2;Masterpiece;400;0;71;142;0;0;0;"20x T2_BAR"
Warrior;PLATE_HELMET;T3_PLATE_HELMET;"Plate Helmet";3;Normal;300;0;74.6;149.1;0;0;0;"20x T3_BAR"
Warrior;PLATE_HELMET;T3_PLATE_HELMET_Q1;"Good Plate Helmet";3;Good;320;0;78.3;156.6;0;0;0;"20x T3_BAR"
Warrior;PLATE_HELMET;T3_PLATE_HELMET_Q2;"Outstanding Plate Helmet";3;Outstanding;350;0;82.2;164.4;0;0;0;"20x T3_BAR"
Warrior;PLATE_HELMET;T3_PLATE_HELMET_Q3;"Excellent Plate Helmet";3;Excellent;400;0;86.3;172.7;0;0;0;"20x T3_BAR"
Warrior;PLATE_HELMET;T3_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";3;Masterpiece;500;0;90.6;181.3;0;0;0;"20x T3_BAR"
Warrior;PLATE_HELMET;T4_PLATE_HELMET;"Plate Helmet";4;Normal;400;0;95.2;190.4;0;0;0;"20x T4_BAR"
Warrior;PLATE_HELMET;T4_PLATE_HELMET_Q1;"Good Plate Helmet";4;Good;420;0;99.9;199.9;0;0;0;"20x T4_BAR"
Warrior;PLATE_HELMET;T4_PLATE_HELMET_Q2;"Outstanding Plate Helmet";4;Outstanding;450;0;104.9;209.9;0;0;0;"20x T4_BAR"
Warrior;PLATE_HELMET;T4_PLATE_HELMET_Q3;"Excellent Plate Helmet";4;Excellent;500;0;110.2;220.4;0;0;0;"20x T4_BAR"
Warrior;PLATE_HELMET;T4_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";4;Masterpiece;600;0;115.7;231.4;0;0;0;"20x T4_BAR"
Warrior;PLATE_HELMET;T5_PLATE_HELMET;"Plate Helmet";5;Normal;500;0;121.5;242.9;0;0;0;"20x T5_BAR"
Warrior;PLATE_HELMET;T5_PLATE_HELMET_Q1;"Good Plate Helmet";5;Good;520;0;127.5;255.1;0;0;0;"20x T5_BAR"
Warrior;PLATE_HELMET;T5_PLATE_HELMET_Q2;"Outstanding Plate Helmet";5;Outstanding;550;0;133.9;267.8;0;0;0;"20x T5_BAR"
Warrior;PLATE_HELMET;T5_PLATE_HELMET_Q3;"Excellent Plate Helmet";5;Excellent;600;0;140.6;281.2;0;0;0;"20x T5_BAR"
Warrior;PLATE_HELMET;T5_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";5;Masterpiece;700;0;147.7;295.3;0;0;0;"20x T5_BAR"
Warrior;PLATE_HELMET;T6_PLATE_HELMET;"Plate Helmet";6;Normal;600;0;155;310.1;0;0;0;"20x T6_BAR"
Warrior;PLATE_HELMET;T6_PLATE_HELMET_Q1;"Good Plate Helmet";6;Good;620;0;162.8;325.6;0;0;0;"20x T6_BAR"
Warrior;PLATE_HELMET;T6_PLATE_HELMET_Q2;"Outstanding Plate Helmet";6;Outstanding;650;0;170.9;341.8;0;0;0;"20x T6_BAR"
Warrior;PLATE_HELMET;T6_PLATE_HELMET_Q3;"Excellent Plate Helmet";6;Excellent;700;0;179.5;358.9;0;0;0;"20x T6_BAR"
Warrior;PLATE_HELMET;T6_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";6;Masterpiece;800;0;188.4;376.9;0;0;0;"20x T6_BAR"
Warrior;PLATE_HELMET;T7_PLATE_HELMET;"Plate Helmet";7;Normal;700;0;197.9;395.7;0;0;0;"20x T7_BAR"
Warrior;PLATE_HELMET;T7_PLATE_HELMET_Q1;"Good Plate Helmet";7;Good;720;0;207.8;415.5;0;0;0;"20x T7_BAR"
Warrior;PLATE_HELMET;T7_PLATE_HELMET_Q2;"Outstanding Plate Helmet";7;Outstanding;750;0;218.1;436.3;0;0;0;"20x T7_BAR"
Warrior;PLATE_HELMET;T7_PLATE_HELMET_Q3;"Excellent Plate Helmet";7;Excellent;800;0;229.1;458.1;0;0;0;"20x T7_BAR"
Warrior;PLATE_HELMET;T7_PLATE_HELMET_Q4;"Masterpiece Plate Helmet";7;Masterpiece;900;0;240.5;481;0;0;0;"20x T7_BAR"
Warrior;PLATE_HELMET;T8_PLATE_HELMET;"Plate Helmet";8;Normal;800;0;252.5;505.1;0;0;0;"20x T8_BAR"
Warrior;PLATE_HELMET;T8_PLATE_HELMET_Q1;"Good Plate Helmet";8;Good;820;0;265.2;530.3;0;0;0;"20x T8_BAR"
Warrior;PLATE_HELMET;T8_PLATE_HELMET_Q2;"Outstanding Plate Helmet";8;Outstanding;850;0;278.4;556.8;0;0;0;"20x T8_BAR"
