"Rune ID","Name","Tier","Stars","Rarity","Activity","Effect Type","Bonus Value (%)","Description"
"T5_RUNE_WOOD_XP_1STAR","T5 Woodcutting Rune of XP (1 Star)","5","1","Common","Woodcutting","XP","8.86","Increases Woodcutting XP by 8.86%"
"T5_RUNE_WOOD_XP_2STAR","T5 Woodcutting Rune of XP (2 Star)","5","2","Rare","Woodcutting","XP","9.52","Increases Woodcutting XP by 9.52%"
"T5_RUNE_WOOD_XP_3STAR","T5 Woodcutting Rune of XP (3 Star)","5","3","Legendary","Woodcutting","XP","10.17","Increases Woodcutting XP by 10.17%"
"T6_RUNE_WOOD_XP_1STAR","T6 Woodcutting Rune of XP (1 Star)","6","1","Common","Woodcutting","XP","10.83","Increases Woodcutting XP by 10.83%"
"T6_RUNE_WOOD_XP_2STAR","T6 Woodcutting Rune of XP (2 Star)","6","2","Rare","Woodcutting","XP","11.48","Increases Woodcutting XP by 11.48%"
"T6_RUNE_WOOD_XP_3STAR","T6 Woodcutting Rune of XP (3 Star)","6","3","Legendary","Woodcutting","XP","12.14","Increases Woodcutting XP by 12.14%"
"T7_RUNE_WOOD_XP_1STAR","T7 Woodcutting Rune of XP (1 Star)","7","1","Common","Woodcutting","XP","12.79","Increases Woodcutting XP by 12.79%"
"T7_RUNE_WOOD_XP_2STAR","T7 Woodcutting Rune of XP (2 Star)","7","2","Rare","Woodcutting","XP","13.45","Increases Woodcutting XP by 13.45%"
"T7_RUNE_WOOD_XP_3STAR","T7 Woodcutting Rune of XP (3 Star)","7","3","Legendary","Woodcutting","XP","14.1","Increases Woodcutting XP by 14.1%"
"T8_RUNE_WOOD_XP_1STAR","T8 Woodcutting Rune of XP (1 Star)","8","1","Common","Woodcutting","XP","14.76","Increases Woodcutting XP by 14.76%"
"T8_RUNE_WOOD_XP_2STAR","T8 Woodcutting Rune of XP (2 Star)","8","2","Rare","Woodcutting","XP","15.41","Increases Woodcutting XP by 15.41%"
"T8_RUNE_WOOD_XP_3STAR","T8 Woodcutting Rune of XP (3 Star)","8","3","Legendary","Woodcutting","XP","16.07","Increases Woodcutting XP by 16.07%"
"T9_RUNE_WOOD_XP_1STAR","T9 Woodcutting Rune of XP (1 Star)","9","1","Common","Woodcutting","XP","16.72","Increases Woodcutting XP by 16.72%"
"T9_RUNE_WOOD_XP_2STAR","T9 Woodcutting Rune of XP (2 Star)","9","2","Rare","Woodcutting","XP","17.38","Increases Woodcutting XP by 17.38%"
"T9_RUNE_WOOD_XP_3STAR","T9 Woodcutting Rune of XP (3 Star)","9","3","Legendary","Woodcutting","XP","18.03","Increases Woodcutting XP by 18.03%"
"T10_RUNE_WOOD_XP_1STAR","T10 Woodcutting Rune of XP (1 Star)","10","1","Common","Woodcutting","XP","18.69","Increases Woodcutting XP by 18.69%"
"T10_RUNE_WOOD_XP_2STAR","T10 Woodcutting Rune of XP (2 Star)","10","2","Rare","Woodcutting","XP","19.34","Increases Woodcutting XP by 19.34%"
"T10_RUNE_WOOD_XP_3STAR","T10 Woodcutting Rune of XP (3 Star)","10","3","Legendary","Woodcutting","XP","20","Increases Woodcutting XP by 20%"
"T1_RUNE_WOOD_COPY_1STAR","T1 Woodcutting Rune of Duplication (1 Star)","1","1","Common","Woodcutting","Duplication","1","Increases Woodcutting Duplication by 1%"
"T1_RUNE_WOOD_COPY_2STAR","T1 Woodcutting Rune of Duplication (2 Star)","1","2","Rare","Woodcutting","Duplication","1.66","Increases Woodcutting Duplication by 1.66%"
"T1_RUNE_WOOD_COPY_3STAR","T1 Woodcutting Rune of Duplication (3 Star)","1","3","Legendary","Woodcutting","Duplication","2.31","Increases Woodcutting Duplication by 2.31%"
"T2_RUNE_WOOD_COPY_1STAR","T2 Woodcutting Rune of Duplication (1 Star)","2","1","Common","Woodcutting","Duplication","2.97","Increases Woodcutting Duplication by 2.97%"
"T2_RUNE_WOOD_COPY_2STAR","T2 Woodcutting Rune of Duplication (2 Star)","2","2","Rare","Woodcutting","Duplication","3.62","Increases Woodcutting Duplication by 3.62%"
"T2_RUNE_WOOD_COPY_3STAR","T2 Woodcutting Rune of Duplication (3 Star)","2","3","Legendary","Woodcutting","Duplication","4.28","Increases Woodcutting Duplication by 4.28%"
"T3_RUNE_WOOD_COPY_1STAR","T3 Woodcutting Rune of Duplication (1 Star)","3","1","Common","Woodcutting","Duplication","4.93","Increases Woodcutting Duplication by 4.93%"
"T3_RUNE_WOOD_COPY_2STAR","T3 Woodcutting Rune of Duplication (2 Star)","3","2","Rare","Woodcutting","Duplication","5.59","Increases Woodcutting Duplication by 5.59%"
"T3_RUNE_WOOD_COPY_3STAR","T3 Woodcutting Rune of Duplication (3 Star)","3","3","Legendary","Woodcutting","Duplication","6.24","Increases Woodcutting Duplication by 6.24%"
"T4_RUNE_WOOD_COPY_1STAR","T4 Woodcutting Rune of Duplication (1 Star)","4","1","Common","Woodcutting","Duplication","6.9","Increases Woodcutting Duplication by 6.9%"
"T4_RUNE_WOOD_COPY_2STAR","T4 Woodcutting Rune of Duplication (2 Star)","4","2","Rare","Woodcutting","Duplication","7.55","Increases Woodcutting Duplication by 7.55%"
"T4_RUNE_WOOD_COPY_3STAR","T4 Woodcutting Rune of Duplication (3 Star)","4","3","Legendary","Woodcutting","Duplication","8.21","Increases Woodcutting Duplication by 8.21%"
"T5_RUNE_WOOD_COPY_1STAR","T5 Woodcutting Rune of Duplication (1 Star)","5","1","Common","Woodcutting","Duplication","8.86","Increases Woodcutting Duplication by 8.86%"
"T5_RUNE_WOOD_COPY_2STAR","T5 Woodcutting Rune of Duplication (2 Star)","5","2","Rare","Woodcutting","Duplication","9.52","Increases Woodcutting Duplication by 9.52%"
"T5_RUNE_WOOD_COPY_3STAR","T5 Woodcutting Rune of Duplication (3 Star)","5","3","Legendary","Woodcutting","Duplication","10.17","Increases Woodcutting Duplication by 10.17%"
"T6_RUNE_WOOD_COPY_1STAR","T6 Woodcutting Rune of Duplication (1 Star)","6","1","Common","Woodcutting","Duplication","10.83","Increases Woodcutting Duplication by 10.83%"
"T6_RUNE_WOOD_COPY_2STAR","T6 Woodcutting Rune of Duplication (2 Star)","6","2","Rare","Woodcutting","Duplication","11.48","Increases Woodcutting Duplication by 11.48%"
"T6_RUNE_WOOD_COPY_3STAR","T6 Woodcutting Rune of Duplication (3 Star)","6","3","Legendary","Woodcutting","Duplication","12.14","Increases Woodcutting Duplication by 12.14%"
"T7_RUNE_WOOD_COPY_1STAR","T7 Woodcutting Rune of Duplication (1 Star)","7","1","Common","Woodcutting","Duplication","12.79","Increases Woodcutting Duplication by 12.79%"
"T7_RUNE_WOOD_COPY_2STAR","T7 Woodcutting Rune of Duplication (2 Star)","7","2","Rare","Woodcutting","Duplication","13.45","Increases Woodcutting Duplication by 13.45%"
"T7_RUNE_WOOD_COPY_3STAR","T7 Woodcutting Rune of Duplication (3 Star)","7","3","Legendary","Woodcutting","Duplication","14.1","Increases Woodcutting Duplication by 14.1%"
"T8_RUNE_WOOD_COPY_1STAR","T8 Woodcutting Rune of Duplication (1 Star)","8","1","Common","Woodcutting","Duplication","14.76","Increases Woodcutting Duplication by 14.76%"
"T8_RUNE_WOOD_COPY_2STAR","T8 Woodcutting Rune of Duplication (2 Star)","8","2","Rare","Woodcutting","Duplication","15.41","Increases Woodcutting Duplication by 15.41%"
"T8_RUNE_WOOD_COPY_3STAR","T8 Woodcutting Rune of Duplication (3 Star)","8","3","Legendary","Woodcutting","Duplication","16.07","Increases Woodcutting Duplication by 16.07%"
"T9_RUNE_WOOD_COPY_1STAR","T9 Woodcutting Rune of Duplication (1 Star)","9","1","Common","Woodcutting","Duplication","16.72","Increases Woodcutting Duplication by 16.72%"
"T9_RUNE_WOOD_COPY_2STAR","T9 Woodcutting Rune of Duplication (2 Star)","9","2","Rare","Woodcutting","Duplication","17.38","Increases Woodcutting Duplication by 17.38%"
"T9_RUNE_WOOD_COPY_3STAR","T9 Woodcutting Rune of Duplication (3 Star)","9","3","Legendary","Woodcutting","Duplication","18.03","Increases Woodcutting Duplication by 18.03%"
"T10_RUNE_WOOD_COPY_1STAR","T10 Woodcutting Rune of Duplication (1 Star)","10","1","Common","Woodcutting","Duplication","18.69","Increases Woodcutting Duplication by 18.69%"
"T10_RUNE_WOOD_COPY_2STAR","T10 Woodcutting Rune of Duplication (2 Star)","10","2","Rare","Woodcutting","Duplication","19.34","Increases Woodcutting Duplication by 19.34%"
"T10_RUNE_WOOD_COPY_3STAR","T10 Woodcutting Rune of Duplication (3 Star)","10","3","Legendary","Woodcutting","Duplication","20","Increases Woodcutting Duplication by 20%"
"T1_RUNE_WOOD_SPEED_1STAR","T1 Woodcutting Rune of Auto-Refine (1 Star)","1","1","Common","Woodcutting","Auto-Refine","1","Chance to automatically refine gathered materials by 1%"
"T1_RUNE_WOOD_SPEED_2STAR","T1 Woodcutting Rune of Auto-Refine (2 Star)","1","2","Rare","Woodcutting","Auto-Refine","1.66","Chance to automatically refine gathered materials by 1.66%"
"T1_RUNE_WOOD_SPEED_3STAR","T1 Woodcutting Rune of Auto-Refine (3 Star)","1","3","Legendary","Woodcutting","Auto-Refine","2.31","Chance to automatically refine gathered materials by 2.31%"
"T2_RUNE_WOOD_SPEED_1STAR","T2 Woodcutting Rune of Auto-Refine (1 Star)","2","1","Common","Woodcutting","Auto-Refine","2.97","Chance to automatically refine gathered materials by 2.97%"
"T2_RUNE_WOOD_SPEED_2STAR","T2 Woodcutting Rune of Auto-Refine (2 Star)","2","2","Rare","Woodcutting","Auto-Refine","3.62","Chance to automatically refine gathered materials by 3.62%"
"T2_RUNE_WOOD_SPEED_3STAR","T2 Woodcutting Rune of Auto-Refine (3 Star)","2","3","Legendary","Woodcutting","Auto-Refine","4.28","Chance to automatically refine gathered materials by 4.28%"
"T3_RUNE_WOOD_SPEED_1STAR","T3 Woodcutting Rune of Auto-Refine (1 Star)","3","1","Common","Woodcutting","Auto-Refine","4.93","Chance to automatically refine gathered materials by 4.93%"
"T3_RUNE_WOOD_SPEED_2STAR","T3 Woodcutting Rune of Auto-Refine (2 Star)","3","2","Rare","Woodcutting","Auto-Refine","5.59","Chance to automatically refine gathered materials by 5.59%"
"T3_RUNE_WOOD_SPEED_3STAR","T3 Woodcutting Rune of Auto-Refine (3 Star)","3","3","Legendary","Woodcutting","Auto-Refine","6.24","Chance to automatically refine gathered materials by 6.24%"
"T4_RUNE_WOOD_SPEED_1STAR","T4 Woodcutting Rune of Auto-Refine (1 Star)","4","1","Common","Woodcutting","Auto-Refine","6.9","Chance to automatically refine gathered materials by 6.9%"
"T4_RUNE_WOOD_SPEED_2STAR","T4 Woodcutting Rune of Auto-Refine (2 Star)","4","2","Rare","Woodcutting","Auto-Refine","7.55","Chance to automatically refine gathered materials by 7.55%"
"T4_RUNE_WOOD_SPEED_3STAR","T4 Woodcutting Rune of Auto-Refine (3 Star)","4","3","Legendary","Woodcutting","Auto-Refine","8.21","Chance to automatically refine gathered materials by 8.21%"
"T5_RUNE_WOOD_SPEED_1STAR","T5 Woodcutting Rune of Auto-Refine (1 Star)","5","1","Common","Woodcutting","Auto-Refine","8.86","Chance to automatically refine gathered materials by 8.86%"
"T5_RUNE_WOOD_SPEED_2STAR","T5 Woodcutting Rune of Auto-Refine (2 Star)","5","2","Rare","Woodcutting","Auto-Refine","9.52","Chance to automatically refine gathered materials by 9.52%"
"T5_RUNE_WOOD_SPEED_3STAR","T5 Woodcutting Rune of Auto-Refine (3 Star)","5","3","Legendary","Woodcutting","Auto-Refine","10.17","Chance to automatically refine gathered materials by 10.17%"
"T6_RUNE_WOOD_SPEED_1STAR","T6 Woodcutting Rune of Auto-Refine (1 Star)","6","1","Common","Woodcutting","Auto-Refine","10.83","Chance to automatically refine gathered materials by 10.83%"
"T6_RUNE_WOOD_SPEED_2STAR","T6 Woodcutting Rune of Auto-Refine (2 Star)","6","2","Rare","Woodcutting","Auto-Refine","11.48","Chance to automatically refine gathered materials by 11.48%"
"T6_RUNE_WOOD_SPEED_3STAR","T6 Woodcutting Rune of Auto-Refine (3 Star)","6","3","Legendary","Woodcutting","Auto-Refine","12.14","Chance to automatically refine gathered materials by 12.14%"
"T7_RUNE_WOOD_SPEED_1STAR","T7 Woodcutting Rune of Auto-Refine (1 Star)","7","1","Common","Woodcutting","Auto-Refine","12.79","Chance to automatically refine gathered materials by 12.79%"
"T7_RUNE_WOOD_SPEED_2STAR","T7 Woodcutting Rune of Auto-Refine (2 Star)","7","2","Rare","Woodcutting","Auto-Refine","13.45","Chance to automatically refine gathered materials by 13.45%"
"T7_RUNE_WOOD_SPEED_3STAR","T7 Woodcutting Rune of Auto-Refine (3 Star)","7","3","Legendary","Woodcutting","Auto-Refine","14.1","Chance to automatically refine gathered materials by 14.1%"
"T8_RUNE_WOOD_SPEED_1STAR","T8 Woodcutting Rune of Auto-Refine (1 Star)","8","1","Common","Woodcutting","Auto-Refine","14.76","Chance to automatically refine gathered materials by 14.76%"
"T8_RUNE_WOOD_SPEED_2STAR","T8 Woodcutting Rune of Auto-Refine (2 Star)","8","2","Rare","Woodcutting","Auto-Refine","15.41","Chance to automatically refine gathered materials by 15.41%"
"T8_RUNE_WOOD_SPEED_3STAR","T8 Woodcutting Rune of Auto-Refine (3 Star)","8","3","Legendary","Woodcutting","Auto-Refine","16.07","Chance to automatically refine gathered materials by 16.07%"
"T9_RUNE_WOOD_SPEED_1STAR","T9 Woodcutting Rune of Auto-Refine (1 Star)","9","1","Common","Woodcutting","Auto-Refine","16.72","Chance to automatically refine gathered materials by 16.72%"
"T9_RUNE_WOOD_SPEED_2STAR","T9 Woodcutting Rune of Auto-Refine (2 Star)","9","2","Rare","Woodcutting","Auto-Refine","17.38","Chance to automatically refine gathered materials by 17.38%"
"T9_RUNE_WOOD_SPEED_3STAR","T9 Woodcutting Rune of Auto-Refine (3 Star)","9","3","Legendary","Woodcutting","Auto-Refine","18.03","Chance to automatically refine gathered materials by 18.03%"
"T10_RUNE_WOOD_SPEED_1STAR","T10 Woodcutting Rune of Auto-Refine (1 Star)","10","1","Common","Woodcutting","Auto-Refine","18.69","Chance to automatically refine gathered materials by 18.69%"
"T10_RUNE_WOOD_SPEED_2STAR","T10 Woodcutting Rune of Auto-Refine (2 Star)","10","2","Rare","Woodcutting","Auto-Refine","19.34","Chance to automatically refine gathered materials by 19.34%"
"T10_RUNE_WOOD_SPEED_3STAR","T10 Woodcutting Rune of Auto-Refine (3 Star)","10","3","Legendary","Woodcutting","Auto-Refine","20","Chance to automatically refine gathered materials by 20%"
"T1_RUNE_ORE_XP_1STAR","T1 Mining Rune of XP (1 Star)","1","1","Common","Mining","XP","1","Increases Mining XP by 1%"
"T1_RUNE_ORE_XP_2STAR","T1 Mining Rune of XP (2 Star)","1","2","Rare","Mining","XP","1.66","Increases Mining XP by 1.66%"
"T1_RUNE_ORE_XP_3STAR","T1 Mining Rune of XP (3 Star)","1","3","Legendary","Mining","XP","2.31","Increases Mining XP by 2.31%"
"T2_RUNE_ORE_XP_1STAR","T2 Mining Rune of XP (1 Star)","2","1","Common","Mining","XP","2.97","Increases Mining XP by 2.97%"
"T2_RUNE_ORE_XP_2STAR","T2 Mining Rune of XP (2 Star)","2","2","Rare","Mining","XP","3.62","Increases Mining XP by 3.62%"
"T2_RUNE_ORE_XP_3STAR","T2 Mining Rune of XP (3 Star)","2","3","Legendary","Mining","XP","4.28","Increases Mining XP by 4.28%"
"T3_RUNE_ORE_XP_1STAR","T3 Mining Rune of XP (1 Star)","3","1","Common","Mining","XP","4.93","Increases Mining XP by 4.93%"
"T3_RUNE_ORE_XP_2STAR","T3 Mining Rune of XP (2 Star)","3","2","Rare","Mining","XP","5.59","Increases Mining XP by 5.59%"
"T3_RUNE_ORE_XP_3STAR","T3 Mining Rune of XP (3 Star)","3","3","Legendary","Mining","XP","6.24","Increases Mining XP by 6.24%"
"T4_RUNE_ORE_XP_1STAR","T4 Mining Rune of XP (1 Star)","4","1","Common","Mining","XP","6.9","Increases Mining XP by 6.9%"
"T4_RUNE_ORE_XP_2STAR","T4 Mining Rune of XP (2 Star)","4","2","Rare","Mining","XP","7.55","Increases Mining XP by 7.55%"
"T4_RUNE_ORE_XP_3STAR","T4 Mining Rune of XP (3 Star)","4","3","Legendary","Mining","XP","8.21","Increases Mining XP by 8.21%"
"T5_RUNE_ORE_XP_1STAR","T5 Mining Rune of XP (1 Star)","5","1","Common","Mining","XP","8.86","Increases Mining XP by 8.86%"
"T5_RUNE_ORE_XP_2STAR","T5 Mining Rune of XP (2 Star)","5","2","Rare","Mining","XP","9.52","Increases Mining XP by 9.52%"
"T5_RUNE_ORE_XP_3STAR","T5 Mining Rune of XP (3 Star)","5","3","Legendary","Mining","XP","10.17","Increases Mining XP by 10.17%"
"T6_RUNE_ORE_XP_1STAR","T6 Mining Rune of XP (1 Star)","6","1","Common","Mining","XP","10.83","Increases Mining XP by 10.83%"
"T6_RUNE_ORE_XP_2STAR","T6 Mining Rune of XP (2 Star)","6","2","Rare","Mining","XP","11.48","Increases Mining XP by 11.48%"
"T6_RUNE_ORE_XP_3STAR","T6 Mining Rune of XP (3 Star)","6","3","Legendary","Mining","XP","12.14","Increases Mining XP by 12.14%"
"T7_RUNE_ORE_XP_1STAR","T7 Mining Rune of XP (1 Star)","7","1","Common","Mining","XP","12.79","Increases Mining XP by 12.79%"
"T7_RUNE_ORE_XP_2STAR","T7 Mining Rune of XP (2 Star)","7","2","Rare","Mining","XP","13.45","Increases Mining XP by 13.45%"
"T7_RUNE_ORE_XP_3STAR","T7 Mining Rune of XP (3 Star)","7","3","Legendary","Mining","XP","14.1","Increases Mining XP by 14.1%"
"T8_RUNE_ORE_XP_1STAR","T8 Mining Rune of XP (1 Star)","8","1","Common","Mining","XP","14.76","Increases Mining XP by 14.76%"
"T8_RUNE_ORE_XP_2STAR","T8 Mining Rune of XP (2 Star)","8","2","Rare","Mining","XP","15.41","Increases Mining XP by 15.41%"
"T8_RUNE_ORE_XP_3STAR","T8 Mining Rune of XP (3 Star)","8","3","Legendary","Mining","XP","16.07","Increases Mining XP by 16.07%"
"T9_RUNE_ORE_XP_1STAR","T9 Mining Rune of XP (1 Star)","9","1","Common","Mining","XP","16.72","Increases Mining XP by 16.72%"
"T9_RUNE_ORE_XP_2STAR","T9 Mining Rune of XP (2 Star)","9","2","Rare","Mining","XP","17.38","Increases Mining XP by 17.38%"
"T9_RUNE_ORE_XP_3STAR","T9 Mining Rune of XP (3 Star)","9","3","Legendary","Mining","XP","18.03","Increases Mining XP by 18.03%"
"T10_RUNE_ORE_XP_1STAR","T10 Mining Rune of XP (1 Star)","10","1","Common","Mining","XP","18.69","Increases Mining XP by 18.69%"
"T10_RUNE_ORE_XP_2STAR","T10 Mining Rune of XP (2 Star)","10","2","Rare","Mining","XP","19.34","Increases Mining XP by 19.34%"
"T10_RUNE_ORE_XP_3STAR","T10 Mining Rune of XP (3 Star)","10","3","Legendary","Mining","XP","20","Increases Mining XP by 20%"
"T1_RUNE_ORE_COPY_1STAR","T1 Mining Rune of Duplication (1 Star)","1","1","Common","Mining","Duplication","1","Increases Mining Duplication by 1%"
"T1_RUNE_ORE_COPY_2STAR","T1 Mining Rune of Duplication (2 Star)","1","2","Rare","Mining","Duplication","1.66","Increases Mining Duplication by 1.66%"
"T1_RUNE_ORE_COPY_3STAR","T1 Mining Rune of Duplication (3 Star)","1","3","Legendary","Mining","Duplication","2.31","Increases Mining Duplication by 2.31%"
"T2_RUNE_ORE_COPY_1STAR","T2 Mining Rune of Duplication (1 Star)","2","1","Common","Mining","Duplication","2.97","Increases Mining Duplication by 2.97%"
"T2_RUNE_ORE_COPY_2STAR","T2 Mining Rune of Duplication (2 Star)","2","2","Rare","Mining","Duplication","3.62","Increases Mining Duplication by 3.62%"
"T2_RUNE_ORE_COPY_3STAR","T2 Mining Rune of Duplication (3 Star)","2","3","Legendary","Mining","Duplication","4.28","Increases Mining Duplication by 4.28%"
"T3_RUNE_ORE_COPY_1STAR","T3 Mining Rune of Duplication (1 Star)","3","1","Common","Mining","Duplication","4.93","Increases Mining Duplication by 4.93%"
"T3_RUNE_ORE_COPY_2STAR","T3 Mining Rune of Duplication (2 Star)","3","2","Rare","Mining","Duplication","5.59","Increases Mining Duplication by 5.59%"
"T3_RUNE_ORE_COPY_3STAR","T3 Mining Rune of Duplication (3 Star)","3","3","Legendary","Mining","Duplication","6.24","Increases Mining Duplication by 6.24%"
"T4_RUNE_ORE_COPY_1STAR","T4 Mining Rune of Duplication (1 Star)","4","1","Common","Mining","Duplication","6.9","Increases Mining Duplication by 6.9%"
"T4_RUNE_ORE_COPY_2STAR","T4 Mining Rune of Duplication (2 Star)","4","2","Rare","Mining","Duplication","7.55","Increases Mining Duplication by 7.55%"
"T4_RUNE_ORE_COPY_3STAR","T4 Mining Rune of Duplication (3 Star)","4","3","Legendary","Mining","Duplication","8.21","Increases Mining Duplication by 8.21%"
"T5_RUNE_ORE_COPY_1STAR","T5 Mining Rune of Duplication (1 Star)","5","1","Common","Mining","Duplication","8.86","Increases Mining Duplication by 8.86%"
"T5_RUNE_ORE_COPY_2STAR","T5 Mining Rune of Duplication (2 Star)","5","2","Rare","Mining","Duplication","9.52","Increases Mining Duplication by 9.52%"
"T5_RUNE_ORE_COPY_3STAR","T5 Mining Rune of Duplication (3 Star)","5","3","Legendary","Mining","Duplication","10.17","Increases Mining Duplication by 10.17%"
"T6_RUNE_ORE_COPY_1STAR","T6 Mining Rune of Duplication (1 Star)","6","1","Common","Mining","Duplication","10.83","Increases Mining Duplication by 10.83%"
"T6_RUNE_ORE_COPY_2STAR","T6 Mining Rune of Duplication (2 Star)","6","2","Rare","Mining","Duplication","11.48","Increases Mining Duplication by 11.48%"
"T6_RUNE_ORE_COPY_3STAR","T6 Mining Rune of Duplication (3 Star)","6","3","Legendary","Mining","Duplication","12.14","Increases Mining Duplication by 12.14%"
"T7_RUNE_ORE_COPY_1STAR","T7 Mining Rune of Duplication (1 Star)","7","1","Common","Mining","Duplication","12.79","Increases Mining Duplication by 12.79%"
"T7_RUNE_ORE_COPY_2STAR","T7 Mining Rune of Duplication (2 Star)","7","2","Rare","Mining","Duplication","13.45","Increases Mining Duplication by 13.45%"
"T7_RUNE_ORE_COPY_3STAR","T7 Mining Rune of Duplication (3 Star)","7","3","Legendary","Mining","Duplication","14.1","Increases Mining Duplication by 14.1%"
"T8_RUNE_ORE_COPY_1STAR","T8 Mining Rune of Duplication (1 Star)","8","1","Common","Mining","Duplication","14.76","Increases Mining Duplication by 14.76%"
"T8_RUNE_ORE_COPY_2STAR","T8 Mining Rune of Duplication (2 Star)","8","2","Rare","Mining","Duplication","15.41","Increases Mining Duplication by 15.41%"
"T8_RUNE_ORE_COPY_3STAR","T8 Mining Rune of Duplication (3 Star)","8","3","Legendary","Mining","Duplication","16.07","Increases Mining Duplication by 16.07%"
"T9_RUNE_ORE_COPY_1STAR","T9 Mining Rune of Duplication (1 Star)","9","1","Common","Mining","Duplication","16.72","Increases Mining Duplication by 16.72%"
"T9_RUNE_ORE_COPY_2STAR","T9 Mining Rune of Duplication (2 Star)","9","2","Rare","Mining","Duplication","17.38","Increases Mining Duplication by 17.38%"
"T9_RUNE_ORE_COPY_3STAR","T9 Mining Rune of Duplication (3 Star)","9","3","Legendary","Mining","Duplication","18.03","Increases Mining Duplication by 18.03%"
"T10_RUNE_ORE_COPY_1STAR","T10 Mining Rune of Duplication (1 Star)","10","1","Common","Mining","Duplication","18.69","Increases Mining Duplication by 18.69%"
"T10_RUNE_ORE_COPY_2STAR","T10 Mining Rune of Duplication (2 Star)","10","2","Rare","Mining","Duplication","19.34","Increases Mining Duplication by 19.34%"
"T10_RUNE_ORE_COPY_3STAR","T10 Mining Rune of Duplication (3 Star)","10","3","Legendary","Mining","Duplication","20","Increases Mining Duplication by 20%"
"T1_RUNE_ORE_SPEED_1STAR","T1 Mining Rune of Auto-Refine (1 Star)","1","1","Common","Mining","Auto-Refine","1","Chance to automatically refine gathered materials by 1%"
"T1_RUNE_ORE_SPEED_2STAR","T1 Mining Rune of Auto-Refine (2 Star)","1","2","Rare","Mining","Auto-Refine","1.66","Chance to automatically refine gathered materials by 1.66%"
"T1_RUNE_ORE_SPEED_3STAR","T1 Mining Rune of Auto-Refine (3 Star)","1","3","Legendary","Mining","Auto-Refine","2.31","Chance to automatically refine gathered materials by 2.31%"
"T2_RUNE_ORE_SPEED_1STAR","T2 Mining Rune of Auto-Refine (1 Star)","2","1","Common","Mining","Auto-Refine","2.97","Chance to automatically refine gathered materials by 2.97%"
"T2_RUNE_ORE_SPEED_2STAR","T2 Mining Rune of Auto-Refine (2 Star)","2","2","Rare","Mining","Auto-Refine","3.62","Chance to automatically refine gathered materials by 3.62%"
"T2_RUNE_ORE_SPEED_3STAR","T2 Mining Rune of Auto-Refine (3 Star)","2","3","Legendary","Mining","Auto-Refine","4.28","Chance to automatically refine gathered materials by 4.28%"
"T3_RUNE_ORE_SPEED_1STAR","T3 Mining Rune of Auto-Refine (1 Star)","3","1","Common","Mining","Auto-Refine","4.93","Chance to automatically refine gathered materials by 4.93%"
"T3_RUNE_ORE_SPEED_2STAR","T3 Mining Rune of Auto-Refine (2 Star)","3","2","Rare","Mining","Auto-Refine","5.59","Chance to automatically refine gathered materials by 5.59%"
"T3_RUNE_ORE_SPEED_3STAR","T3 Mining Rune of Auto-Refine (3 Star)","3","3","Legendary","Mining","Auto-Refine","6.24","Chance to automatically refine gathered materials by 6.24%"
"T4_RUNE_ORE_SPEED_1STAR","T4 Mining Rune of Auto-Refine (1 Star)","4","1","Common","Mining","Auto-Refine","6.9","Chance to automatically refine gathered materials by 6.9%"
