Level,Warrior_DMG,Warrior_HP,Warrior_DEF,Warrior_SpeedBonus,Hunter_DMG,Hunter_HP,Hunter_DEF,Hunter_SpeedBonus,Mage_DMG,Mage_HP,Mage_DEF,Mage_SpeedBonus
37,"27,7",231,116,"13,9","27,7",202,"57,8","18,5","95,7",173,"34,7","13,9"
38,"29,1",243,121,"14,6","29,1",212,"60,7","19,4","100,5",182,"36,4","14,6"
39,"30,6",255,128,"15,3","30,6",223,"63,7","20,4","105,5",191,"38,2","15,3"
40,"32,1",268,134,"16,1","32,1",234,"66,9","21,4","110,8",201,"40,2","16,1"
41,"33,7",281,141,"16,9","33,7",246,"70,3","22,5","116,3",211,"42,2","16,9"
42,"35,4",295,148,"17,7","35,4",258,"73,8","23,6","122,1",221,"44,3","17,7"
43,"37,2",310,155,"18,6","37,2",271,"77,5","24,8","128,2",232,"46,5","18,6"
44,"39,0",325,163,"19,5","39,0",285,"81,3",26,"134,6",244,"48,8","19,5"
45,"41,0",342,171,"20,5","41,0",299,"85,4","27,3","141,4",256,"51,2","20,5"
46,"43,0",359,179,"21,5","43,0",314,"89,7","28,7","148,4",269,"53,8","21,5"
47,"45,2",377,188,"22,6","45,2",330,"94,2","30,1","155,9",283,"56,5","22,6"
48,"47,5",396,198,"23,7","47,5",346,"98,9","31,6","163,7",297,"59,3","23,7"
49,"49,8",415,208,"24,9","49,8",363,"103,8","33,2","171,8",311,"62,3","24,9"
50,"52,3",436,218,"26,2","52,3",382,109,"34,9","180,4",327,"65,4","26,2"
51,"54,9",458,229,"27,5","54,9",401,"114,5","36,6","189,4",343,"68,7","27,5"
52,"57,7",481,240,"28,8","57,7",421,"120,2","38,5","198,9",361,"72,1","28,8"
53,"60,6",505,252,"30,3","60,6",442,"126,2","40,4","208,9",379,"75,7","30,3"
54,"63,6",530,265,"31,8","63,6",464,"132,5","42,4","219,3",398,"79,5","31,8"
55,"66,8",557,278,"33,4","66,8",487,"139,1","44,5","230,3",417,"83,5","33,4"
56,"70,1",584,292,"35,1","70,1",511,"146,1","46,7","241,8",438,"87,6","35,1"
57,"73,6",614,307,"36,8","73,6",537,"153,4","49,1","253,9",460,"92,0","36,8"
58,"77,3",644,322,"38,7","77,3",564,161,"51,5","266,6",483,"96,6","38,7"
59,"81,2",676,338,"40,6","81,2",592,"169,1","54,1","279,9",507,"101,5","40,6"
60,"85,2",710,355,"42,6","85,2",621,"177,6","56,8","293,9",533,"106,5","42,6"
61,"89,5",746,373,"44,7","89,5",653,"186,4","59,7","308,6",559,"111,9","44,7"
62,"94,0",783,392,47,"94,0",685,"195,8","62,6","324,0",587,"117,5",47
63,"98,7",822,411,"49,3","98,7",719,"205,5","65,8","340,2",617,"123,3","49,3"
64,"103,6",863,432,"51,8","103,6",755,"215,8","69,1","357,2",648,"129,5","51,8"
65,"108,8",907,453,"54,4","108,8",793,"226,6","72,5","375,1",680,"136,0","54,4"
66,"114,2",952,476,"57,1","114,2",833,"237,9","76,1","393,8",714,"142,8","57,1"
67,"119,9",999,500,60,"119,9",874,"249,8","79,9","413,5",750,"149,9",60
68,"125,9",1049,525,63,"125,9",918,"262,3","83,9","434,2",787,"157,4",63
69,"132,2",1102,551,"66,1","132,2",964,"275,4","88,1","455,9",826,"165,3","66,1"
70,"138,8",1157,578,"69,4","138,8",1012,"289,2","92,6","478,7",868,"173,5","69,4"
71,"145,8",1215,607,"72,9","145,8",1063,"303,7","97,2","502,7",911,"182,2","72,9"
72,"153,1",1276,638,"76,5","153,1",1116,"318,9",102,"527,8",957,"191,3","76,5"
73,"160,7",1339,670,"80,4","160,7",1172,"334,8","107,1","554,2",1004,"200,9","80,4"
74,"168,7",1406,703,"84,4","168,7",1230,"351,6","112,5","581,9",1055,"210,9","84,4"
75,"177,2",1477,738,"88,6","177,2",1292,"369,1","118,1","611,0",1107,"221,5","88,6"
76,"186,0",1550,775,93,"186,0",1357,"387,6",124,"641,5",1163,"232,6",93
77,"195,3",1628,814,"97,7","195,3",1424,407,"130,2","673,6",1221,"244,2","97,7"
78,"205,1",1709,855,"102,6","205,1",1496,"427,3","136,7","707,3",1282,"256,4","102,6"
79,"215,4",1795,897,"107,7","215,4",1570,"448,7","143,6","742,7",1346,"269,2","107,7"
80,"226,1",1884,942,"113,1","226,1",1649,"471,1","150,8","779,8",1413,"282,7","113,1"
81,"237,4",1979,989,"118,7","237,4",1731,"494,7","158,3","818,8",1484,"296,8","118,7"
82,"249,3",2078,1039,"124,7","249,3",1818,"519,4","166,2","859,7",1558,"311,6","124,7"
83,"261,8",2182,1091,"130,9","261,8",1909,"545,4","174,5","902,7",1636,"327,2","130,9"
84,"274,9",2291,1145,"137,4","274,9",2004,"572,6","183,2","947,8",1718,"343,6","137,4"
85,"288,6",2405,1203,"144,3","288,6",2104,"601,3","192,4","995,2",1804,"360,8","144,3"
86,"303,0",2525,1263,"151,5","303,0",2210,"631,3",202,"1045,0",1894,"378,8","151,5"
87,"318,2",2652,1326,"159,1","318,2",2320,"662,9","212,1","1097,2",1989,"397,7","159,1"
88,"334,1",2784,1392,"167,1","334,1",2436,696,"222,7","1152,1",2088,"417,6","167,1"
89,"350,8",2923,1462,"175,4","350,8",2558,"730,8","233,9","1209,7",2193,"438,5","175,4"
90,"368,3",3070,1535,"184,2","368,3",2686,"767,4","245,6","1270,2",2302,"460,4","184,2"
91,"386,8",3223,1612,"193,4","386,8",2820,"805,8","257,8","1333,7",2417,"483,5","193,4"
92,"406,1",3384,1692,"203,1","406,1",2961,846,"270,7","1400,4",2538,"507,6","203,1"
93,"426,4",3553,1777,"213,2","426,4",3109,"888,4","284,3","1470,4",2665,"533,0","213,2"
94,"447,7",3731,1866,"223,9","447,7",3265,"932,8","298,5","1543,9",2798,"559,7","223,9"
95,"470,1",3918,1959,"235,1","470,1",3428,"979,4","313,4","1621,1",2938,"587,6","235,1"
96,"493,6",4114,2057,"246,8","493,6",3599,"1028,4","329,1","1702,2",3085,"617,0","246,8"
97,"518,3",4319,2160,"259,2","518,3",3779,"1079,8","345,5","1787,3",3239,"647,9","259,2"
98,"544,2",4535,2268,"272,1","544,2",3968,"1133,8","362,8","1876,6",3401,"680,3","272,1"
99,"571,4",4762,2381,"285,7","571,4",4167,"1190,5",381,"1970,5",3571,"714,3","285,7"
100,"600,0",5000,2500,300,"600,0",4375,1250,400,"2069,0",3750,"750,0",300
