Name,Tier,Rarity,IP,DMG,HP,DEF,SPEED,CRIT,GLOBAL_EFF
Good Tome,T9,Good,920,34533.4,,,,1.8%,
Outstanding Tome,T9,Outstanding,950,43166.8,,,,2.25%,
Excellent Tome,T9,Excellent,1000,57555.7,,,,3%,
Masterpiece Tome,T9,Masterpiece,1100,86333.5,,,,4.5%,
Normal Tome,T10,Normal,1000,61666.8,,,,1.67%,
Good Tome,T10,Good,1020,74000.2,,,,2%,
Outstanding Tome,T10,Outstanding,1050,92500.2,,,,2.5%,
Excellent Tome,T10,Excellent,1100,123333.6,,,,3.33%,
Masterpiece Tome,T10,Masterpiece,1200,185000.4,,,,5%,
Normal Cloth Armor,T1,Normal,100,,25,0.1,,,
Good Cloth Armor,T1,Good,120,,30,0.1,,,
Outstanding Cloth Armor,T1,Outstanding,150,,37.5,0.1,,,
Excellent Cloth Armor,T1,Excellent,200,,50,0.1,,,
Masterpiece Cloth Armor,T1,Masterpiece,300,,75,0.2,,,
Normal Cloth Armor,T2,Normal,200,,60,0.2,,,
Good Cloth Armor,T2,Good,220,,72,0.2,,,
Outstanding Cloth Armor,T2,Outstanding,250,,90,0.2,,,
Excellent Cloth Armor,T2,Excellent,300,,120,0.3,,,
Masterpiece Cloth Armor,T2,Masterpiece,400,,180,0.5,,,
Normal Cloth Armor,T3,Normal,300,,120,0.3,,,
Good Cloth Armor,T3,Good,320,,144,0.4,,,
Outstanding Cloth Armor,T3,Outstanding,350,,180,0.5,,,
Excellent Cloth Armor,T3,Excellent,400,,240,0.7,,,
Masterpiece Cloth Armor,T3,Masterpiece,500,,360,1,,,
Normal Cloth Armor,T4,Normal,400,,400,0.9,,,
Good Cloth Armor,T4,Good,420,,480,1.1,,,
Outstanding Cloth Armor,T4,Outstanding,450,,600,1.3,,,
Excellent Cloth Armor,T4,Excellent,500,,800,1.8,,,
Masterpiece Cloth Armor,T4,Masterpiece,600,,1200,2.7,,,
Normal Cloth Armor,T5,Normal,500,,1000,2.2,,,
Good Cloth Armor,T5,Good,520,,1200,2.7,,,
Outstanding Cloth Armor,T5,Outstanding,550,,1500,3.3,,,
Excellent Cloth Armor,T5,Excellent,600,,2000,4.4,,,
Masterpiece Cloth Armor,T5,Masterpiece,700,,3000,6.7,,,
Normal Cloth Armor,T6,Normal,600,,2500,5.6,,,
Good Cloth Armor,T6,Good,620,,3000,6.7,,,
Outstanding Cloth Armor,T6,Outstanding,650,,3750,8.3,,,
Excellent Cloth Armor,T6,Excellent,700,,5000,11.1,,,
Masterpiece Cloth Armor,T6,Masterpiece,800,,7500,16.7,,,
Normal Cloth Armor,T7,Normal,700,,6000,13.3,,,
Good Cloth Armor,T7,Good,720,,7200,16,,,
Outstanding Cloth Armor,T7,Outstanding,750,,9000,20,,,
Excellent Cloth Armor,T7,Excellent,800,,12000,26.7,,,
Masterpiece Cloth Armor,T7,Masterpiece,900,,18000,40,,,
Normal Cloth Armor,T8,Normal,800,,15000,33.3,,,
Good Cloth Armor,T8,Good,820,,18000,40,,,
Outstanding Cloth Armor,T8,Outstanding,850,,22500,50,,,
Excellent Cloth Armor,T8,Excellent,900,,30000,66.7,,,
Masterpiece Cloth Armor,T8,Masterpiece,1000,,45000,100,,,
Normal Cloth Armor,T9,Normal,900,,40000,77.8,,,
Good Cloth Armor,T9,Good,920,,48000,93.3,,,
Outstanding Cloth Armor,T9,Outstanding,950,,60000,116.7,,,
Excellent Cloth Armor,T9,Excellent,1000,,80000,155.5,,,
Masterpiece Cloth Armor,T9,Masterpiece,1100,,120000,233.3,,,
Normal Cloth Armor,T10,Normal,1000,,100000,166.7,,,
Good Cloth Armor,T10,Good,1020,,120000,200,,,
Outstanding Cloth Armor,T10,Outstanding,1050,,150000,250,,,
Excellent Cloth Armor,T10,Excellent,1100,,200000,333.3,,,
Masterpiece Cloth Armor,T10,Masterpiece,1200,,300000,500,,,
Normal Cloth Helmet,T1,Normal,100,,18.8,,,,
Good Cloth Helmet,T1,Good,120,,22.5,,,,
Outstanding Cloth Helmet,T1,Outstanding,150,,28.1,0.1,,,
Excellent Cloth Helmet,T1,Excellent,200,,37.5,0.1,,,
Masterpiece Cloth Helmet,T1,Masterpiece,300,,56.3,0.1,,,
Normal Cloth Helmet,T2,Normal,200,,45,0.1,,,
Good Cloth Helmet,T2,Good,220,,54,0.1,,,
Outstanding Cloth Helmet,T2,Outstanding,250,,67.5,0.2,,,
Excellent Cloth Helmet,T2,Excellent,300,,90,0.2,,,
Masterpiece Cloth Helmet,T2,Masterpiece,400,,135,0.4,,,
Normal Cloth Helmet,T3,Normal,300,,90,0.2,,,
Good Cloth Helmet,T3,Good,320,,108,0.3,,,
Outstanding Cloth Helmet,T3,Outstanding,350,,135,0.4,,,
Excellent Cloth Helmet,T3,Excellent,400,,180,0.5,,,
Masterpiece Cloth Helmet,T3,Masterpiece,500,,270,0.7,,,
Normal Cloth Helmet,T4,Normal,400,,300,0.7,,,
Good Cloth Helmet,T4,Good,420,,360,0.8,,,
Outstanding Cloth Helmet,T4,Outstanding,450,,450,1,,,
Excellent Cloth Helmet,T4,Excellent,500,,600,1.3,,,
Masterpiece Cloth Helmet,T4,Masterpiece,600,,900,2,,,
Normal Cloth Helmet,T5,Normal,500,,750,1.7,,,
Good Cloth Helmet,T5,Good,520,,900,2,,,
Outstanding Cloth Helmet,T5,Outstanding,550,,1125,2.5,,,
Excellent Cloth Helmet,T5,Excellent,600,,1500,3.3,,,
Masterpiece Cloth Helmet,T5,Masterpiece,700,,2250,5,,,
Normal Cloth Helmet,T6,Normal,600,,1875,4.2,,,
Good Cloth Helmet,T6,Good,620,,2250,5,,,
Outstanding Cloth Helmet,T6,Outstanding,650,,2812.5,6.2,,,
Excellent Cloth Helmet,T6,Excellent,700,,3750,8.3,,,
Masterpiece Cloth Helmet,T6,Masterpiece,800,,5625,12.5,,,
Normal Cloth Helmet,T7,Normal,700,,4500,10,,,
Good Cloth Helmet,T7,Good,720,,5400,12,,,
Outstanding Cloth Helmet,T7,Outstanding,750,,6750,15,,,
Excellent Cloth Helmet,T7,Excellent,800,,9000,20,,,
Masterpiece Cloth Helmet,T7,Masterpiece,900,,13500,30,,,
Normal Cloth Helmet,T8,Normal,800,,11250,25,,,
Good Cloth Helmet,T8,Good,820,,13500,30,,,
Outstanding Cloth Helmet,T8,Outstanding,850,,16875,37.5,,,
Excellent Cloth Helmet,T8,Excellent,900,,22500,50,,,
Masterpiece Cloth Helmet,T8,Masterpiece,1000,,33750,75,,,
Normal Cloth Helmet,T9,Normal,900,,30000,58.3,,,
Good Cloth Helmet,T9,Good,920,,36000,70,,,
Outstanding Cloth Helmet,T9,Outstanding,950,,45000,87.5,,,
Excellent Cloth Helmet,T9,Excellent,1000,,60000,116.6,,,
Masterpiece Cloth Helmet,T9,Masterpiece,1100,,90000,174.9,,,
Normal Cloth Helmet,T10,Normal,1000,,75000,125,,,
Good Cloth Helmet,T10,Good,1020,,90000,149.9,,,
Outstanding Cloth Helmet,T10,Outstanding,1050,,112500,187.4,,,
Excellent Cloth Helmet,T10,Excellent,1100,,150000,249.9,,,
Masterpiece Cloth Helmet,T10,Masterpiece,1200,,225000,374.9,,,
Normal Cloth Boots,T1,Normal,100,,9.4,,11.1,,
Good Cloth Boots,T1,Good,120,,11.3,,13.3,,
Outstanding Cloth Boots,T1,Outstanding,150,,14.1,,16.6,,
Excellent Cloth Boots,T1,Excellent,200,,18.8,,22.1,,
Masterpiece Cloth Boots,T1,Masterpiece,300,,28.1,0.1,33.2,,
Normal Cloth Boots,T2,Normal,200,,22.5,0.1,22.1,,
Good Cloth Boots,T2,Good,220,,27,0.1,26.6,,
Outstanding Cloth Boots,T2,Outstanding,250,,33.8,0.1,33.2,,
Excellent Cloth Boots,T2,Excellent,300,,45,0.1,44.3,,
Masterpiece Cloth Boots,T2,Masterpiece,400,,67.5,0.2,66.4,,
Normal Cloth Boots,T3,Normal,300,,45,0.1,33.2,,
Good Cloth Boots,T3,Good,320,,54,0.2,39.9,,
Outstanding Cloth Boots,T3,Outstanding,350,,67.5,0.2,49.8,,
Excellent Cloth Boots,T3,Excellent,400,,90,0.3,66.4,,
Masterpiece Cloth Boots,T3,Masterpiece,500,,135,0.4,99.7,,
Normal Cloth Boots,T4,Normal,400,,150,0.3,44.3,,
Good Cloth Boots,T4,Good,420,,180,0.4,53.2,,
Outstanding Cloth Boots,T4,Outstanding,450,,225,0.5,66.4,,
Excellent Cloth Boots,T4,Excellent,500,,300,0.7,88.6,,
Masterpiece Cloth Boots,T4,Masterpiece,600,,450,1,132.9,,
Normal Cloth Boots,T5,Normal,500,,375,0.8,55.4,,
Good Cloth Boots,T5,Good,520,,450,1,66.4,,
Outstanding Cloth Boots,T5,Outstanding,550,,562.5,1.3,83,,
Excellent Cloth Boots,T5,Excellent,600,,750,1.7,110.7,,
Masterpiece Cloth Boots,T5,Masterpiece,700,,1125,2.5,166.1,,
Normal Cloth Boots,T6,Normal,600,,937.5,2.1,66.4,,
Good Cloth Boots,T6,Good,620,,1125,2.5,79.7,,
Outstanding Cloth Boots,T6,Outstanding,650,,1406.3,3.1,99.7,,
Excellent Cloth Boots,T6,Excellent,700,,1875,4.2,132.9,,
Masterpiece Cloth Boots,T6,Masterpiece,800,,2812.5,6.3,199.3,,
Normal Cloth Boots,T7,Normal,700,,2250,5,77.5,,
Good Cloth Boots,T7,Good,720,,2700,6,93,,
Outstanding Cloth Boots,T7,Outstanding,750,,3375,7.5,116.3,,
Excellent Cloth Boots,T7,Excellent,800,,4500,10,155,,
Masterpiece Cloth Boots,T7,Masterpiece,900,,6750,15,232.5,,
Normal Cloth Boots,T8,Normal,800,,5625,12.5,88.6,,
Good Cloth Boots,T8,Good,820,,6750,15,106.3,,
Outstanding Cloth Boots,T8,Outstanding,850,,8437.5,18.8,132.9,,
Excellent Cloth Boots,T8,Excellent,900,,11250,25,177.2,,
Masterpiece Cloth Boots,T8,Masterpiece,1000,,16875,37.5,265.8,,
Normal Cloth Boots,T9,Normal,900,,15000,29.2,99.7,,
Good Cloth Boots,T9,Good,920,,18000,35,119.6,,
Outstanding Cloth Boots,T9,Outstanding,950,,22500,43.8,149.5,,
Excellent Cloth Boots,T9,Excellent,1000,,30000,58.4,199.3,,
Masterpiece Cloth Boots,T9,Masterpiece,1100,,45000,87.6,299,,
Normal Cloth Boots,T10,Normal,1000,,37500,62.6,110.7,,
Good Cloth Boots,T10,Good,1020,,45000,75.1,132.9,,
Outstanding Cloth Boots,T10,Outstanding,1050,,56250,93.8,166.1,,
Excellent Cloth Boots,T10,Excellent,1100,,75000,125.1,221.5,,
Masterpiece Cloth Boots,T10,Masterpiece,1200,,112500,187.7,332.2,,
Normal Cloth Gloves,T1,Normal,100,8.2,9.4,,1,,
Good Cloth Gloves,T1,Good,120,9.9,11.3,,2,,
Outstanding Cloth Gloves,T1,Outstanding,150,12.3,14.1,,3,,
Excellent Cloth Gloves,T1,Excellent,200,16.4,18.8,,4,,
Masterpiece Cloth Gloves,T1,Masterpiece,300,24.7,28.1,0.1,5,,
Normal Cloth Gloves,T2,Normal,200,20.6,22.5,0.1,12.7,,
Good Cloth Gloves,T2,Good,220,24.7,27,0.1,15.2,,
Outstanding Cloth Gloves,T2,Outstanding,250,30.8,33.8,0.1,19,,
Excellent Cloth Gloves,T2,Excellent,300,41.1,45,0.1,25.3,,
Masterpiece Cloth Gloves,T2,Masterpiece,400,61.7,67.5,0.2,38,,
Normal Cloth Gloves,T3,Normal,300,49.3,45,0.1,19,,
Good Cloth Gloves,T3,Good,320,59.2,54,0.2,22.8,,
Outstanding Cloth Gloves,T3,Outstanding,350,74,67.5,0.2,28.5,,
Excellent Cloth Gloves,T3,Excellent,400,98.7,90,0.3,38,,
Masterpiece Cloth Gloves,T3,Masterpiece,500,148,135,0.4,56.9,,
Normal Cloth Gloves,T4,Normal,400,123.3,150,0.3,25.3,,
Good Cloth Gloves,T4,Good,420,148,180,0.4,30.4,,
Outstanding Cloth Gloves,T4,Outstanding,450,185,225,0.5,38,,
Excellent Cloth Gloves,T4,Excellent,500,246.7,300,0.7,50.6,,
Masterpiece Cloth Gloves,T4,Masterpiece,600,370,450,1,75.9,,
Normal Cloth Gloves,T5,Normal,500,328.9,375,0.8,31.6,,
Good Cloth Gloves,T5,Good,520,394.7,450,1,38,,
Outstanding Cloth Gloves,T5,Outstanding,550,493.3,562.5,1.3,47.5,,
Excellent Cloth Gloves,T5,Excellent,600,657.8,750,1.7,63.3,,
Masterpiece Cloth Gloves,T5,Masterpiece,700,986.7,1125,2.5,94.9,,
Normal Cloth Gloves,T6,Normal,600,822.2,937.5,2.1,38,,
Good Cloth Gloves,T6,Good,620,986.7,1125,2.5,45.6,,
Outstanding Cloth Gloves,T6,Outstanding,650,1233.3,1406.3,3.1,56.9,,
Excellent Cloth Gloves,T6,Excellent,700,1644.4,1875,4.2,75.9,,
Masterpiece Cloth Gloves,T6,Masterpiece,800,2466.7,2812.5,6.3,113.9,,
Normal Cloth Gloves,T7,Normal,700,2055.5,2250,5,44.3,,
Good Cloth Gloves,T7,Good,720,2466.7,2700,6,53.1,,
Outstanding Cloth Gloves,T7,Outstanding,750,3083.3,3375,7.5,66.4,,
Excellent Cloth Gloves,T7,Excellent,800,4111.1,4500,10,88.6,,
Masterpiece Cloth Gloves,T7,Masterpiece,900,6166.6,6750,15,132.9,,
Normal Cloth Gloves,T8,Normal,800,4933.3,5625,12.5,50.6,,
Good Cloth Gloves,T8,Good,820,5920,6750,15,60.7,,
Outstanding Cloth Gloves,T8,Outstanding,850,7400,8437.5,18.8,75.9,,
Excellent Cloth Gloves,T8,Excellent,900,9866.6,11250,25,101.2,,
Masterpiece Cloth Gloves,T8,Masterpiece,1000,14800,16875,37.5,151.8,,
Normal Cloth Gloves,T9,Normal,900,11511.1,15000,29.2,56.9,,
Good Cloth Gloves,T9,Good,920,13813.3,18000,35,68.3,,
Outstanding Cloth Gloves,T9,Outstanding,950,17266.6,22500,43.8,85.4,,
Excellent Cloth Gloves,T9,Excellent,1000,23022.2,30000,58.4,113.9,,
Masterpiece Cloth Gloves,T9,Masterpiece,1100,34533.2,45000,87.6,170.8,,
Normal Cloth Gloves,T10,Normal,1000,24666.6,37500,62.6,63.3,,
Good Cloth Gloves,T10,Good,1020,29599.9,45000,75.1,75.9,,
Outstanding Cloth Gloves,T10,Outstanding,1050,36999.9,56250,93.8,94.9,,
Excellent Cloth Gloves,T10,Excellent,1100,49333.2,75000,125.1,126.5,,
Masterpiece Cloth Gloves,T10,Masterpiece,1200,73999.8,112500,187.7,189.8,,
Normal Mage Cape,T1,Normal,100,8.2,,,1,,1%
Good Mage Cape,T1,Good,120,9.9,,,2,,1.3%
Outstanding Mage Cape,T1,Outstanding,150,12.3,,,3,,1.6%
Excellent Mage Cape,T1,Excellent,200,16.4,,,4,,1.9%
Masterpiece Mage Cape,T1,Masterpiece,300,24.7,,,5,,2.1%
Normal Mage Cape,T2,Normal,200,20.6,,,6,,2.4%
Good Mage Cape,T2,Good,220,24.7,,,7,,2.7%
Outstanding Mage Cape,T2,Outstanding,250,30.8,,,8,,3%
Excellent Mage Cape,T2,Excellent,300,41.1,,,9,,3.3%
Masterpiece Mage Cape,T2,Masterpiece,400,61.7,,,10,,3.6%
Normal Mage Cape,T3,Normal,300,49.3,,,14.2,,3.9%
Good Mage Cape,T3,Good,320,59.2,,,17.1,,4.1%
Outstanding Mage Cape,T3,Outstanding,350,74,,,21.3,,4.4%
Excellent Mage Cape,T3,Excellent,400,98.7,,,28.5,,4.7%
Masterpiece Mage Cape,T3,Masterpiece,500,148,,,42.7,,5%
Normal Mage Cape,T4,Normal,400,123.3,,,19,,5.3%
Good Mage Cape,T4,Good,420,148,,,22.8,,5.6%
Outstanding Mage Cape,T4,Outstanding,450,185,,,28.5,,5.9%
Excellent Mage Cape,T4,Excellent,500,246.7,,,37.9,,6.1%
Masterpiece Mage Cape,T4,Masterpiece,600,370,,,56.9,,6.4%
Normal Mage Cape,T5,Normal,500,328.9,,,23.7,,6.7%
Good Mage Cape,T5,Good,520,394.7,,,28.5,,7%
Outstanding Mage Cape,T5,Outstanding,550,493.3,,,35.6,,7.3%
Excellent Mage Cape,T5,Excellent,600,657.8,,,47.4,,7.6%
Masterpiece Mage Cape,T5,Masterpiece,700,986.7,,,71.1,,7.9%
Normal Mage Cape,T6,Normal,600,822.2,,,28.5,,8.1%
Good Mage Cape,T6,Good,620,986.7,,,34.2,,8.4%
Outstanding Mage Cape,T6,Outstanding,650,1233.3,,,42.7,,8.7%
Excellent Mage Cape,T6,Excellent,700,1644.4,,,56.9,,9%
Masterpiece Mage Cape,T6,Masterpiece,800,2466.7,,,85.4,,9.3%
Normal Mage Cape,T7,Normal,700,2055.5,,,33.2,,9.6%
Good Mage Cape,T7,Good,720,2466.7,,,39.8,,9.9%
Outstanding Mage Cape,T7,Outstanding,750,3083.3,,,49.8,,10.1%
Excellent Mage Cape,T7,Excellent,800,4111.1,,,66.4,,10.4%
Masterpiece Mage Cape,T7,Masterpiece,900,6166.6,,,99.6,,10.7%
Normal Mage Cape,T8,Normal,800,4933.3,,,37.9,,11%
Good Mage Cape,T8,Good,820,5920,,,45.5,,11.3%
Outstanding Mage Cape,T8,Outstanding,850,7400,,,56.9,,11.6%
Excellent Mage Cape,T8,Excellent,900,9866.6,,,75.9,,11.9%
Masterpiece Mage Cape,T8,Masterpiece,1000,14800,,,113.8,,12.1%
Normal Mage Cape,T9,Normal,900,11511.1,,,42.7,,12.4%
Good Mage Cape,T9,Good,920,13813.3,,,51.2,,12.7%
Outstanding Mage Cape,T9,Outstanding,950,17266.6,,,64,,13%
Excellent Mage Cape,T9,Excellent,1000,23022.2,,,85.4,,13.3%
Masterpiece Mage Cape,T9,Masterpiece,1100,34533.2,,,128.1,,13.6%
Normal Mage Cape,T10,Normal,1000,24666.6,,,47.4,,13.9%
Good Mage Cape,T10,Good,1020,29599.9,,,56.9,,14.1%
Outstanding Mage Cape,T10,Outstanding,1050,36999.9,,,71.1,,14.4%
Excellent Mage Cape,T10,Excellent,1100,49333.2,,,94.9,,14.7%
Masterpiece Mage Cape,T10,Masterpiece,1200,73999.8,,,142.3,,15%
