Name,Tier,Rarity,IP,DMG,HP,DEF,SPEED,CRIT,GLOBAL_EFF
Normal Fire Staff,T8,Normal,800,1.023,0,,"143,2",,
Good Fire Staff,T8,Good,820,1.074,0,,"150,3",,
Outstanding Fire Staff,T8,Outstanding,850,1.127,0,,"157,9",,
Excellent Fire Staff,T8,Excellent,900,1.184,0,,"165,8",,
Masterpiece Fire Staff,T8,Masterpiece,1000,1.243,0,,"174,1",,
Normal Fire Staff,T9,Normal,900,1.305,0,,"182,8",,
Good Fire Staff,T9,Good,920,1.370,0,,"191,9",,
Outstanding Fire Staff,T9,Outstanding,950,1.439,0,,"201,5",,
Excellent Fire Staff,T9,Excellent,1000,1.511,0,,"211,6",,
Masterpiece Fire Staff,T9,Masterpiece,1100,1.586,0,,"222,1",,
Normal Fire Staff,T10,Normal,1000,1.666,0,,"233,2",,
Good Fire Staff,T10,Good,1020,1.749,0,,"244,9",,
Outstanding Fire Staff,T10,Outstanding,1050,1.837,0,,"257,1",,
Excellent Fire Staff,T10,Excellent,1100,1.928,0,,270,,
Masterpiece Fire Staff,T10,Masterpiece,1200,2.025,0,,"284,7",,
Normal Tome,T1,Normal,100,84,0,,,"0,46",
Good Tome,T1,Good,120,89,0,,,"0,48",
Outstanding Tome,T1,Outstanding,150,93,0,,,"0,5",
Excellent Tome,T1,Excellent,200,98,0,,,"0,53",
Masterpiece Tome,T1,Masterpiece,300,103,0,,,"0,55",
Normal Tome,T2,Normal,200,108,0,,,"0,58",
Good Tome,T2,Good,220,113,0,,,"0,61",
Outstanding Tome,T2,Outstanding,250,119,0,,,"0,64",
Excellent Tome,T2,Excellent,300,125,0,,,"0,67",
Masterpiece Tome,T2,Masterpiece,400,131,0,,,"0,7",
Normal Tome,T3,Normal,300,137,0,,,"0,74",
Good Tome,T3,Good,320,144,0,,,"0,77",
Outstanding Tome,T3,Outstanding,350,152,0,,,"0,81",
Excellent Tome,T3,Excellent,400,159,0,,,"0,85",
Masterpiece Tome,T3,Masterpiece,500,167,0,,,"0,89",
Normal Tome,T4,Normal,400,175,0,,,"0,93",
Good Tome,T4,Good,420,184,0,,,"0,98",
Outstanding Tome,T4,Outstanding,450,193,0,,,"1,03",
Excellent Tome,T4,Excellent,500,203,0,,,"1,08",
Masterpiece Tome,T4,Masterpiece,600,213,0,,,"1,13",
Normal Tome,T5,Normal,500,224,0,,,"1,19",
Good Tome,T5,Good,520,235,0,,,"1,25",
Outstanding Tome,T5,Outstanding,550,247,0,,,"1,31",
Excellent Tome,T5,Excellent,600,259,0,,,"1,38",
Masterpiece Tome,T5,Masterpiece,700,272,0,,,"1,45",
Normal Tome,T6,Normal,600,286,0,,,"1,52",
Good Tome,T6,Good,620,300,0,,,"1,6",
Outstanding Tome,T6,Outstanding,650,315,0,,,"1,68",
Excellent Tome,T6,Excellent,700,331,0,,,"1,76",
Masterpiece Tome,T6,Masterpiece,800,347,0,,,"1,85",
Normal Tome,T7,Normal,700,364,0,,,"1,94",
Good Tome,T7,Good,720,382,0,,,"2,04",
Outstanding Tome,T7,Outstanding,750,401,0,,,"2,14",
Excellent Tome,T7,Excellent,800,421,0,,,"2,25",
Masterpiece Tome,T7,Masterpiece,900,442,0,,,"2,36",
Normal Tome,T8,Normal,800,463,0,,,"2,48",
Good Tome,T8,Good,820,486,0,,,"2,6",
Outstanding Tome,T8,Outstanding,850,510,0,,,"2,73",
Excellent Tome,T8,Excellent,900,535,0,,,"2,87",
Masterpiece Tome,T8,Masterpiece,1000,562,0,,,"3,01",
Normal Tome,T9,Normal,900,589,0,,,"3,16",
Good Tome,T9,Good,920,618,0,,,"3,32",
Outstanding Tome,T9,Outstanding,950,649,0,,,"3,49",
Excellent Tome,T9,Excellent,1000,681,0,,,"3,66",
Masterpiece Tome,T9,Masterpiece,1100,714,0,,,"3,84",
Normal Tome,T10,Normal,1000,750,0,,,"4,03",
Good Tome,T10,Good,1020,787,0,,,"4,23",
Outstanding Tome,T10,Outstanding,1050,826,0,,,"4,44",
Excellent Tome,T10,Excellent,1100,867,0,,,"4,66",
Masterpiece Tome,T10,Masterpiece,1200,925,0,,,5,
Normal Cloth Armor,T1,Normal,100,0,137,"45,6",,,
Good Cloth Armor,T1,Good,120,0,144,"47,9",,,
Outstanding Cloth Armor,T1,Outstanding,150,0,151,"50,3",,,
Excellent Cloth Armor,T1,Excellent,200,0,158,"52,8",,,
Masterpiece Cloth Armor,T1,Masterpiece,300,0,166,"55,4",,,
Normal Cloth Armor,T2,Normal,200,0,175,"58,2",,,
Good Cloth Armor,T2,Good,220,0,183,"61,1",,,
Outstanding Cloth Armor,T2,Outstanding,250,0,193,"64,1",,,
Excellent Cloth Armor,T2,Excellent,300,0,202,"67,3",,,
Masterpiece Cloth Armor,T2,Masterpiece,400,0,212,"70,7",,,
Normal Cloth Armor,T3,Normal,300,0,223,"74,2",,,
Good Cloth Armor,T3,Good,320,0,234,"77,9",,,
Outstanding Cloth Armor,T3,Outstanding,350,0,246,"81,8",,,
Excellent Cloth Armor,T3,Excellent,400,0,258,"85,9",,,
Masterpiece Cloth Armor,T3,Masterpiece,500,0,271,"90,2",,,
Normal Cloth Armor,T4,Normal,400,0,284,"94,7",,,
Good Cloth Armor,T4,Good,420,0,299,"99,4",,,
Outstanding Cloth Armor,T4,Outstanding,450,0,314,"104,4",,,
Excellent Cloth Armor,T4,Excellent,500,0,329,"109,6",,,
Masterpiece Cloth Armor,T4,Masterpiece,600,0,346,"115,1",,,
Normal Cloth Armor,T5,Normal,500,0,363,"120,8",,,
Good Cloth Armor,T5,Good,520,0,381,"126,9",,,
Outstanding Cloth Armor,T5,Outstanding,550,0,400,"133,2",,,
Excellent Cloth Armor,T5,Excellent,600,0,420,"139,9",,,
Masterpiece Cloth Armor,T5,Masterpiece,700,0,441,"146,9",,,
Normal Cloth Armor,T6,Normal,600,0,463,"154,2",,,
Good Cloth Armor,T6,Good,620,0,487,"161,9",,,
Outstanding Cloth Armor,T6,Outstanding,650,0,511,170,,,
Excellent Cloth Armor,T6,Excellent,700,0,536,"178,5",,,
Masterpiece Cloth Armor,T6,Masterpiece,800,0,563,"187,4",,,
Normal Cloth Armor,T7,Normal,700,0,591,"196,8",,,
Good Cloth Armor,T7,Good,720,0,621,"206,6",,,
Outstanding Cloth Armor,T7,Outstanding,750,0,652,"216,9",,,
Excellent Cloth Armor,T7,Excellent,800,0,685,"227,8",,,
Masterpiece Cloth Armor,T7,Masterpiece,900,0,719,"239,2",,,
Normal Cloth Armor,T8,Normal,800,0,755,"251,2",,,
Good Cloth Armor,T8,Good,820,0,793,"263,8",,,
Outstanding Cloth Armor,T8,Outstanding,850,0,832,277,,,
Excellent Cloth Armor,T8,Excellent,900,0,874,"290,9",,,
Masterpiece Cloth Armor,T8,Masterpiece,1000,0,917,"305,4",,,
Normal Cloth Armor,T9,Normal,900,0,963,"320,7",,,
Good Cloth Armor,T9,Good,920,0,1.011,"336,7",,,
Outstanding Cloth Armor,T9,Outstanding,950,0,1.062,"353,5",,,
Excellent Cloth Armor,T9,Excellent,1000,0,1.115,"371,2",,,
Masterpiece Cloth Armor,T9,Masterpiece,1100,0,1.171,"389,8",,,
Normal Cloth Armor,T10,Normal,1000,0,1.229,"409,3",,,
Good Cloth Armor,T10,Good,1020,0,1.291,"429,7",,,
Outstanding Cloth Armor,T10,Outstanding,1050,0,1.355,"451,2",,,
Excellent Cloth Armor,T10,Excellent,1100,0,1.423,"473,8",,,
Masterpiece Cloth Armor,T10,Masterpiece,1200,0,1.500,500,,,
Normal Cloth Helmet,T1,Normal,100,0,103,"34,2",,,
Good Cloth Helmet,T1,Good,120,0,108,"35,9",,,
Outstanding Cloth Helmet,T1,Outstanding,150,0,113,"37,7",,,
Excellent Cloth Helmet,T1,Excellent,200,0,119,"39,6",,,
Masterpiece Cloth Helmet,T1,Masterpiece,300,0,125,"41,6",,,
Normal Cloth Helmet,T2,Normal,200,0,131,"43,7",,,
Good Cloth Helmet,T2,Good,220,0,138,"45,9",,,
Outstanding Cloth Helmet,T2,Outstanding,250,0,144,"48,2",,,
Excellent Cloth Helmet,T2,Excellent,300,0,152,"50,6",,,
Masterpiece Cloth Helmet,T2,Masterpiece,400,0,159,"53,1",,,
Normal Cloth Helmet,T3,Normal,300,0,167,"55,8",,,
Good Cloth Helmet,T3,Good,320,0,176,"58,6",,,
Outstanding Cloth Helmet,T3,Outstanding,350,0,184,"61,5",,,
Excellent Cloth Helmet,T3,Excellent,400,0,194,"64,6",,,
Masterpiece Cloth Helmet,T3,Masterpiece,500,0,203,"67,8",,,
Normal Cloth Helmet,T4,Normal,400,0,213,"71,2",,,
Good Cloth Helmet,T4,Good,420,0,224,"74,8",,,
Outstanding Cloth Helmet,T4,Outstanding,450,0,235,"78,5",,,
Excellent Cloth Helmet,T4,Excellent,500,0,247,"82,4",,,
Masterpiece Cloth Helmet,T4,Masterpiece,600,0,259,"86,5",,,
Normal Cloth Helmet,T5,Normal,500,0,272,"90,8",,,
Good Cloth Helmet,T5,Good,520,0,286,"95,4",,,
Outstanding Cloth Helmet,T5,Outstanding,550,0,300,"100,2",,,
Excellent Cloth Helmet,T5,Excellent,600,0,315,"105,2",,,
Masterpiece Cloth Helmet,T5,Masterpiece,700,0,331,"110,5",,,
Normal Cloth Helmet,T6,Normal,600,0,348,116,,,
Good Cloth Helmet,T6,Good,620,0,365,"121,8",,,
Outstanding Cloth Helmet,T6,Outstanding,650,0,383,"127,9",,,
Excellent Cloth Helmet,T6,Excellent,700,0,402,"134,3",,,
Masterpiece Cloth Helmet,T6,Masterpiece,800,0,422,141,,,
Normal Cloth Helmet,T7,Normal,700,0,444,"148,1",,,
Good Cloth Helmet,T7,Good,720,0,466,"155,5",,,
Outstanding Cloth Helmet,T7,Outstanding,750,0,489,"163,3",,,
Excellent Cloth Helmet,T7,Excellent,800,0,513,"171,5",,,
Masterpiece Cloth Helmet,T7,Masterpiece,900,0,539,"180,1",,,
Normal Cloth Helmet,T8,Normal,800,0,566,"189,1",,,
Good Cloth Helmet,T8,Good,820,0,594,"198,6",,,
Outstanding Cloth Helmet,T8,Outstanding,850,0,624,"208,5",,,
Excellent Cloth Helmet,T8,Excellent,900,0,655,219,,,
Masterpiece Cloth Helmet,T8,Masterpiece,1000,0,688,"229,9",,,
Normal Cloth Helmet,T9,Normal,900,0,722,"241,4",,,
Good Cloth Helmet,T9,Good,920,0,759,"253,5",,,
Outstanding Cloth Helmet,T9,Outstanding,950,0,797,"266,2",,,
Excellent Cloth Helmet,T9,Excellent,1000,0,836,"279,5",,,
Masterpiece Cloth Helmet,T9,Masterpiece,1100,0,878,"293,5",,,
Normal Cloth Helmet,T10,Normal,1000,0,922,"308,2",,,
Good Cloth Helmet,T10,Good,1020,0,968,"323,6",,,
Outstanding Cloth Helmet,T10,Outstanding,1050,0,1.017,"339,8",,,
Excellent Cloth Helmet,T10,Excellent,1100,0,1.067,"356,8",,,
Masterpiece Cloth Helmet,T10,Masterpiece,1200,0,1.125,375,,,
Normal Cloth Boots,T1,Normal,100,0,52,"17,2","30,3",,
Good Cloth Boots,T1,Good,120,0,54,"18,1","31,8",,
Outstanding Cloth Boots,T1,Outstanding,150,0,57,19,"33,4",,
Excellent Cloth Boots,T1,Excellent,200,0,60,"19,9","35,1",,
Masterpiece Cloth Boots,T1,Masterpiece,300,0,63,"20,9","36,9",,
Normal Cloth Boots,T2,Normal,200,0,66,22,"38,7",,
Good Cloth Boots,T2,Good,220,0,69,"23,1","40,6",,
Outstanding Cloth Boots,T2,Outstanding,250,0,73,"24,3","42,6",,
Excellent Cloth Boots,T2,Excellent,300,0,76,"25,5","44,8",,
Masterpiece Cloth Boots,T2,Masterpiece,400,0,80,"26,8",47,,
Normal Cloth Boots,T3,Normal,300,0,84,"28,1","49,3",,
Good Cloth Boots,T3,Good,320,0,88,"29,5","51,8",,
Outstanding Cloth Boots,T3,Outstanding,350,0,93,31,"54,4",,
Excellent Cloth Boots,T3,Excellent,400,0,97,"32,6","57,1",,
Masterpiece Cloth Boots,T3,Masterpiece,500,0,102,"34,2",60,,
Normal Cloth Boots,T4,Normal,400,0,107,"35,9",63,,
Good Cloth Boots,T4,Good,420,0,113,"37,7","66,2",,
Outstanding Cloth Boots,T4,Outstanding,450,0,118,"39,6","69,5",,
Excellent Cloth Boots,T4,Excellent,500,0,124,"41,6",73,,
Masterpiece Cloth Boots,T4,Masterpiece,600,0,130,"43,7","76,6",,
Normal Cloth Boots,T5,Normal,500,0,137,"45,9","80,4",,
Good Cloth Boots,T5,Good,520,0,144,"48,2","84,4",,
Outstanding Cloth Boots,T5,Outstanding,550,0,151,"50,6","88,6",,
Excellent Cloth Boots,T5,Excellent,600,0,158,"53,1",93,,
Masterpiece Cloth Boots,T5,Masterpiece,700,0,166,"55,8","97,7",,
Normal Cloth Boots,T6,Normal,600,0,175,"58,6","102,6",,
Good Cloth Boots,T6,Good,620,0,183,"61,5","107,7",,
Outstanding Cloth Boots,T6,Outstanding,650,0,193,"64,6","113,1",,
Excellent Cloth Boots,T6,Excellent,700,0,202,"67,8","118,8",,
Masterpiece Cloth Boots,T6,Masterpiece,800,0,212,"71,2","124,7",,
Normal Cloth Boots,T7,Normal,700,0,223,"74,8","130,9",,
Good Cloth Boots,T7,Good,720,0,234,"78,5","137,4",,
Outstanding Cloth Boots,T7,Outstanding,750,0,246,"82,4","144,3",,
Excellent Cloth Boots,T7,Excellent,800,0,258,"86,5","151,5",,
Masterpiece Cloth Boots,T7,Masterpiece,900,0,271,"90,8","159,1",,
Normal Cloth Boots,T8,Normal,800,0,284,"95,4","167,1",,
Good Cloth Boots,T8,Good,820,0,299,"100,2","175,4",,
Outstanding Cloth Boots,T8,Outstanding,850,0,314,"105,2","184,2",,
Excellent Cloth Boots,T8,Excellent,900,0,329,"110,5","193,4",,
Masterpiece Cloth Boots,T8,Masterpiece,1000,0,346,116,"203,1",,
Normal Cloth Boots,T9,Normal,900,0,363,"121,8","213,3",,
Good Cloth Boots,T9,Good,920,0,381,"127,9","223,9",,
Outstanding Cloth Boots,T9,Outstanding,950,0,400,"134,3","235,1",,
Excellent Cloth Boots,T9,Excellent,1000,0,420,141,"246,9",,
Masterpiece Cloth Boots,T9,Masterpiece,1100,0,441,"148,1","259,2",,
Normal Cloth Boots,T10,Normal,1000,0,463,"155,5","272,2",,
Good Cloth Boots,T10,Good,1020,0,487,"163,3","285,8",,
Outstanding Cloth Boots,T10,Outstanding,1050,0,511,"171,5","300,1",,
Excellent Cloth Boots,T10,Excellent,1100,0,536,"180,1","315,1",,
Masterpiece Cloth Boots,T10,Masterpiece,1200,0,563,"187,5","332,2",,
Normal Cloth Gloves,T1,Normal,100,34,51,"17,1","17,3",,
Good Cloth Gloves,T1,Good,120,35,54,18,"18,2",,
Outstanding Cloth Gloves,T1,Outstanding,150,37,57,"18,9","19,1",,
Excellent Cloth Gloves,T1,Excellent,200,39,59,"19,8","20,1",,
Masterpiece Cloth Gloves,T1,Masterpiece,300,41,62,"20,8","21,1",,
Normal Cloth Gloves,T2,Normal,200,43,65,"21,8","22,1",,
Good Cloth Gloves,T2,Good,220,45,69,"22,9","23,2",,
Outstanding Cloth Gloves,T2,Outstanding,250,47,72,24,"24,4",,
Excellent Cloth Gloves,T2,Excellent,300,50,76,"25,2","25,6",,
Masterpiece Cloth Gloves,T2,Masterpiece,400,52,80,"26,5","26,9",,
Normal Cloth Gloves,T3,Normal,300,55,84,"27,8","28,2",,
Good Cloth Gloves,T3,Good,320,58,88,"29,2","29,6",,
Outstanding Cloth Gloves,T3,Outstanding,350,61,92,"30,7","31,1",,
Excellent Cloth Gloves,T3,Excellent,400,64,97,"32,2","32,7",,
Masterpiece Cloth Gloves,T3,Masterpiece,500,67,102,"33,8","34,3",,
Normal Cloth Gloves,T4,Normal,400,70,107,"35,5",36,,
Good Cloth Gloves,T4,Good,420,74,112,"37,3","37,8",,
Outstanding Cloth Gloves,T4,Outstanding,450,77,118,"39,2","39,7",,
Excellent Cloth Gloves,T4,Excellent,500,81,123,"41,2","41,7",,
Masterpiece Cloth Gloves,T4,Masterpiece,600,85,130,"43,3","43,8",,
Normal Cloth Gloves,T5,Normal,500,90,136,"45,5",46,,
Good Cloth Gloves,T5,Good,520,94,143,"47,8","48,3",,
Outstanding Cloth Gloves,T5,Outstanding,550,99,150,"50,2","50,7",,
Excellent Cloth Gloves,T5,Excellent,600,104,158,"52,7","53,2",,
Masterpiece Cloth Gloves,T5,Masterpiece,700,109,166,"55,3","55,9",,
Normal Cloth Gloves,T6,Normal,600,114,174,"58,1","58,7",,
Good Cloth Gloves,T6,Good,620,120,182,61,"61,6",,
Outstanding Cloth Gloves,T6,Outstanding,650,126,192,"64,1","64,7",,
Excellent Cloth Gloves,T6,Excellent,700,132,201,"67,3","67,9",,
Masterpiece Cloth Gloves,T6,Masterpiece,800,139,211,"70,7","71,3",,
Normal Cloth Gloves,T7,Normal,700,146,222,"74,2","74,9",,
Good Cloth Gloves,T7,Good,720,153,233,"77,9","78,6",,
Outstanding Cloth Gloves,T7,Outstanding,750,161,245,"81,8","82,5",,
Excellent Cloth Gloves,T7,Excellent,800,169,257,"85,9","86,6",,
Masterpiece Cloth Gloves,T7,Masterpiece,900,177,270,"90,2","90,9",,
Normal Cloth Gloves,T8,Normal,800,186,283,"94,7","95,4",,
Good Cloth Gloves,T8,Good,820,195,297,"99,4","100,2",,
Outstanding Cloth Gloves,T8,Outstanding,850,205,312,"104,4","105,2",,
Excellent Cloth Gloves,T8,Excellent,900,216,328,"109,6","110,5",,
Masterpiece Cloth Gloves,T8,Masterpiece,1000,226,344,"115,1",116,,
Normal Cloth Gloves,T9,Normal,900,238,361,"120,9","121,8",,
Good Cloth Gloves,T9,Good,920,249,379,"126,9","127,9",,
Outstanding Cloth Gloves,T9,Outstanding,950,262,398,"133,2","134,3",,
Excellent Cloth Gloves,T9,Excellent,1000,275,418,"139,9",141,,
Masterpiece Cloth Gloves,T9,Masterpiece,1100,289,439,"146,9","148,1",,
Normal Cloth Gloves,T10,Normal,1000,303,461,"154,2","155,5",,
Good Cloth Gloves,T10,Good,1020,318,484,"161,9","163,3",,
Outstanding Cloth Gloves,T10,Outstanding,1050,334,508,170,"171,5",,
Excellent Cloth Gloves,T10,Excellent,1100,351,534,"178,5","180,1",,
Masterpiece Cloth Gloves,T10,Masterpiece,1200,370,563,"187,5","189,8",,
Normal Mage Cape,T1,Normal,100,34,0,,13,,"1,37"
Good Mage Cape,T1,Good,120,35,0,,"13,7",,"1,44"
Outstanding Mage Cape,T1,Outstanding,150,37,0,,"14,4",,"1,51"
Excellent Mage Cape,T1,Excellent,200,39,0,,"15,1",,"1,59"
Masterpiece Mage Cape,T1,Masterpiece,300,41,0,,"15,9",,"1,67"
Normal Mage Cape,T2,Normal,200,43,0,,"16,7",,"1,75"
Good Mage Cape,T2,Good,220,45,0,,"17,5",,"1,84"
Outstanding Mage Cape,T2,Outstanding,250,47,0,,"18,4",,"1,93"
Excellent Mage Cape,T2,Excellent,300,50,0,,"19,3",,"2,03"
Masterpiece Mage Cape,T2,Masterpiece,400,52,0,,"20,3",,"2,13"
Normal Mage Cape,T3,Normal,300,55,0,,"21,3",,"2,24"
Good Mage Cape,T3,Good,320,58,0,,"22,4",,"2,35"
Outstanding Mage Cape,T3,Outstanding,350,61,0,,"23,5",,"2,47"
Excellent Mage Cape,T3,Excellent,400,64,0,,"24,7",,"2,59"
Masterpiece Mage Cape,T3,Masterpiece,500,67,0,,"25,9",,"2,72"
Normal Mage Cape,T4,Normal,400,70,0,,"27,2",,"2,86"
Good Mage Cape,T4,Good,420,74,0,,"28,6",,3
Outstanding Mage Cape,T4,Outstanding,450,77,0,,30,,"3,15"
Excellent Mage Cape,T4,Excellent,500,81,0,,"31,5",,"3,31"
Masterpiece Mage Cape,T4,Masterpiece,600,85,0,,"33,1",,"3,48"
Normal Mage Cape,T5,Normal,500,90,0,,"34,8",,"3,65"
Good Mage Cape,T5,Good,520,94,0,,"36,5",,"3,83"
Outstanding Mage Cape,T5,Outstanding,550,99,0,,"38,3",,"4,02"
Excellent Mage Cape,T5,Excellent,600,104,0,,"40,2",,"4,22"
Masterpiece Mage Cape,T5,Masterpiece,700,109,0,,"42,2",,"4,43"
Normal Mage Cape,T6,Normal,600,114,0,,"44,3",,"4,65"
Good Mage Cape,T6,Good,620,120,0,,"46,5",,"4,88"
Outstanding Mage Cape,T6,Outstanding,650,126,0,,"48,8",,"5,12"
Excellent Mage Cape,T6,Excellent,700,132,0,,"51,2",,"5,38"
Masterpiece Mage Cape,T6,Masterpiece,800,139,0,,"53,8",,"5,65"
Normal Mage Cape,T7,Normal,700,146,0,,"56,5",,"5,93"
Good Mage Cape,T7,Good,720,153,0,,"59,3",,"6,23"
Outstanding Mage Cape,T7,Outstanding,750,161,0,,"62,3",,"6,54"
Excellent Mage Cape,T7,Excellent,800,169,0,,"65,4",,"6,87"
Masterpiece Mage Cape,T7,Masterpiece,900,177,0,,"68,7",,"7,21"
Normal Mage Cape,T8,Normal,800,186,0,,"72,1",,"7,57"
Good Mage Cape,T8,Good,820,195,0,,"75,7",,"7,95"
Outstanding Mage Cape,T8,Outstanding,850,205,0,,"79,5",,"8,35"
Excellent Mage Cape,T8,Excellent,900,216,0,,"83,5",,"8,77"
Masterpiece Mage Cape,T8,Masterpiece,1000,226,0,,"87,7",,"9,21"
Normal Mage Cape,T9,Normal,900,238,0,,"92,1",,"9,67"
Good Mage Cape,T9,Good,920,249,0,,"96,7",,"10,15"
Outstanding Mage Cape,T9,Outstanding,950,262,0,,"101,5",,"10,66"
Excellent Mage Cape,T9,Excellent,1000,275,0,,"106,6",,"11,19"
Masterpiece Mage Cape,T9,Masterpiece,1100,289,0,,"111,9",,"11,75"
Normal Mage Cape,T10,Normal,1000,303,0,,"117,5",,"12,34"
Good Mage Cape,T10,Good,1020,318,0,,"123,4",,"12,96"
Outstanding Mage Cape,T10,Outstanding,1050,334,0,,"129,6",,"13,61"
Excellent Mage Cape,T10,Excellent,1100,351,0,,"136,1",,"14,29"
Masterpiece Mage Cape,T10,Masterpiece,1200,370,0,,"142,3",,15
